metric_category,metric_data_type,metric_field_description,metric_filterable,metric_name,metric_repeated,metric_selectable,metric_sortable,metric_type_url
METRIC,DOUBLE,<td>The average amount that you've been charged for an ad engagement. This amount is the total cost of all ad engagements divided by the total number of ad engagements.</td>,True,metrics.average_cpe,False,True,True,N/A
METRIC,DOUBLE,<td>Average cost-per-thousand impressions (CPM).</td>,True,metrics.average_cpm,False,True,True,N/A
METRIC,DOUBLE,<td>The average amount you pay each time someone views your ad. The average CPV is defined by the total cost of all ad views divided by the number of views.</td>,True,metrics.average_cpv,False,True,True,N/A
METRIC,DOUBLE,"<td>The average number of times a unique user saw your ad during the requested time period. This metric cannot be aggregated, and can only be requested for date ranges of 92 days or less. This metric is available for following campaign types - Display, Video, Discovery and App.</td>",True,metrics.average_impression_frequency_per_user,False,True,True,N/A
METRIC,INT64,"<td>Average order value is the average revenue you made per order attributed to your ads. How it works: You report conversions with cart data for completed purchases on your website. Average order value is the total revenue from your orders divided by the total number of orders. Example: You received 3 orders which made $10, $15 and $20 worth of revenue. The average order value is $15 = ($10 + $15 + $20)/3. This metric is only available if you report conversions with cart data.</td>",True,metrics.average_order_value_micros,False,True,True,N/A
METRIC,DOUBLE,<td>Average number of pages viewed per session.</td>,True,metrics.average_page_views,False,True,True,N/A
METRIC,INT64,"<td>The average Target CPA, or unset if not available (for example, for campaigns that had traffic from portfolio bidding strategies or non-tCPA).</td>",True,metrics.average_target_cpa_micros,False,True,True,N/A
METRIC,DOUBLE,"<td>The average Target ROAS, or unset if not available (for example, for campaigns that had traffic from portfolio bidding strategies or non-tROAS).</td>",True,metrics.average_target_roas,False,True,True,N/A
METRIC,DOUBLE,<td>Total duration of all sessions (in seconds) / number of sessions. Imported from Google Analytics.</td>,True,metrics.average_time_on_site,False,True,True,N/A
METRIC,DOUBLE,<td>An indication of how other advertisers are bidding on similar products.</td>,True,metrics.benchmark_average_max_cpc,False,True,True,N/A
METRIC,DOUBLE,<td>An indication on how other advertisers' Shopping ads for similar products are performing based on how often people who see their ad click on it.</td>,True,metrics.benchmark_ctr,False,True,True,N/A
METRIC,DOUBLE,<td>Number of app installs.</td>,True,metrics.biddable_app_install_conversions,False,True,True,N/A
METRIC,DOUBLE,<td>Number of in-app actions.</td>,True,metrics.biddable_app_post_install_conversions,False,True,True,N/A
METRIC,DOUBLE,<td>Percentage of clicks where the user only visited a single page on your site. Imported from Google Analytics.</td>,True,metrics.bounce_rate,False,True,True,N/A
METRIC,INT64,<td>The number of clicks.</td>,True,metrics.clicks,False,True,True,N/A
METRIC,INT64,"<td>The number of times your ad or your site's listing in the unpaid results was clicked. See the help page at <a href=""https://support.google.com/google-ads/answer/3097241"">https://support.google.com/google-ads/answer/3097241</a> for details.</td>",True,metrics.combined_clicks,False,True,True,N/A
METRIC,DOUBLE,"<td>The number of times your ad or your site's listing in the unpaid results was clicked (combined_clicks) divided by combined_queries. See the help page at <a href=""https://support.google.com/google-ads/answer/3097241"">https://support.google.com/google-ads/answer/3097241</a> for details.</td>",True,metrics.combined_clicks_per_query,False,True,True,N/A
METRIC,INT64,"<td>The number of searches that returned pages from your site in the unpaid results or showed one of your text ads. See the help page at <a href=""https://support.google.com/google-ads/answer/3097241"">https://support.google.com/google-ads/answer/3097241</a> for details.</td>",True,metrics.combined_queries,False,True,True,N/A
METRIC,DOUBLE,<td>The estimated percent of times that your ad was eligible to show on the Display Network but didn't because your budget was too low. Note: Content budget lost impression share is reported in the range of 0 to 0.9. Any value above 0.9 is reported as 0.9001.</td>,True,metrics.content_budget_lost_impression_share,False,True,True,N/A
METRIC,DOUBLE,<td>The impressions you've received on the Display Network divided by the estimated number of impressions you were eligible to receive. Note: Content impression share is reported in the range of 0.1 to 1. Any value below 0.1 is reported as 0.0999.</td>,True,metrics.content_impression_share,False,True,True,N/A
METRIC,DOUBLE,<td>The estimated percentage of impressions on the Display Network that your ads didn't receive due to poor Ad Rank. Note: Content rank lost impression share is reported in the range of 0 to 0.9. Any value above 0.9 is reported as 0.9001.</td>,True,metrics.content_rank_lost_impression_share,False,True,True,N/A
METRIC,DATE,<td>The date of the most recent conversion for this conversion action. The date is in the customer's time zone.</td>,True,metrics.conversion_last_conversion_date,False,True,True,N/A
METRIC,DATE,"<td>The last date/time a conversion tag for this conversion action successfully fired and was seen by Google Ads. This firing event may not have been the result of an attributable conversion (for example, because the tag was fired from a browser that did not previously click an ad from an appropriate advertiser). The date/time is in the customer's time zone.</td>",True,metrics.conversion_last_received_request_date_time,False,True,True,N/A
METRIC,DOUBLE,"<td>The number of conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.conversions,False,True,True,N/A
METRIC,DOUBLE,"<td>The number of conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions. When this column is selected with date, the values in date column means the conversion date. Details for the by_conversion_date columns are available at <a href=""https://support.google.com/google-ads/answer/9549009"">https://support.google.com/google-ads/answer/9549009</a>.</td>",True,metrics.conversions_by_conversion_date,False,True,True,N/A
METRIC,DOUBLE,"<td>Conversions from interactions divided by the number of ad interactions (such as clicks for text ads or views for video ads). This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.conversions_from_interactions_rate,False,True,True,N/A
METRIC,DOUBLE,"<td>The value of conversions from interactions divided by the number of ad interactions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.conversions_from_interactions_value_per_interaction,False,True,True,N/A
METRIC,DOUBLE,"<td>The value of conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.conversions_value,False,True,True,N/A
METRIC,DOUBLE,"<td>The value of conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions. When this column is selected with date, the values in date column means the conversion date. Details for the by_conversion_date columns are available at <a href=""https://support.google.com/google-ads/answer/9549009"">https://support.google.com/google-ads/answer/9549009</a>.</td>",True,metrics.conversions_value_by_conversion_date,False,True,True,N/A
METRIC,DOUBLE,"<td>The value of conversions divided by the cost of ad interactions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.conversions_value_per_cost,False,True,True,N/A
METRIC,INT64,<td>The sum of your cost-per-click (CPC) and cost-per-thousand impressions (CPM) costs during this period.</td>,True,metrics.cost_micros,False,True,True,N/A
METRIC,INT64,"<td>Cost of goods sold (COGS) is the total cost of the products you sold in orders attributed to your ads. How it works: You can add a cost of goods sold value to every product in Merchant Center. If you report conversions with cart data, the products you sold are matched with their cost of goods sold value and this can be used to calculate the gross profit you made on each order. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat has a cost of goods sold value of $3, the shirt has a cost of goods sold value of $5. The cost of goods sold for this order is $8 = $3 + $5. This metric is only available if you report conversions with cart data.</td>",True,metrics.cost_of_goods_sold_micros,False,True,True,N/A
METRIC,DOUBLE,<td>The cost of ad interactions divided by all conversions.</td>,True,metrics.cost_per_all_conversions,False,True,True,N/A
METRIC,DOUBLE,"<td>The cost of ad interactions divided by conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.cost_per_conversion,False,True,True,N/A
METRIC,DOUBLE,"<td>The cost of ad interactions divided by current model attributed conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.cost_per_current_model_attributed_conversion,False,True,True,N/A
METRIC,DOUBLE,"<td>Conversions from when a customer clicks on a Google Ads ad on one device, then converts on a different device or browser. Cross-device conversions are already included in all_conversions.</td>",True,metrics.cross_device_conversions,False,True,True,N/A
METRIC,INT64,"<td>The sum of the value of cross-device conversions, in micros.</td>",True,metrics.cross_device_conversions_value_micros,False,True,True,N/A
METRIC,INT64,"<td>Cross-sell cost of goods sold (COGS) is the total cost of products sold as a result of advertising a different product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If these products don't match then this is considered cross-sell. Cross-sell cost of goods sold is the total cost of the products sold that weren't advertised. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat has a cost of goods sold value of $3, the shirt has a cost of goods sold value of $5. The cross-sell cost of goods sold for this order is $5. This metric is only available if you report conversions with cart data.</td>",True,metrics.cross_sell_cost_of_goods_sold_micros,False,True,True,N/A
METRIC,INT64,"<td>Cross-sell gross profit is the profit you made from products sold as a result of advertising a different product, minus cost of goods sold (COGS). How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the purchase is a sold product. If these products don't match then this is considered cross-sell. Cross-sell gross profit is the revenue you made from cross-sell attributed to your ads minus the cost of the goods sold. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The shirt is priced $20 and has a cost of goods sold value of $5. The cross-sell gross profit of this order is $15 = $20 - $5. This metric is only available if you report conversions with cart data.</td>",True,metrics.cross_sell_gross_profit_micros,False,True,True,N/A
METRIC,INT64,<td>Cross-sell revenue is the total amount you made from products sold as a result of advertising a different product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If these products don't match then this is considered cross-sell. Cross-sell revenue is the total value you made from cross-sell attributed to your ads. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat is priced $10 and the shirt is priced $20. The cross-sell revenue of this order is $20. This metric is only available if you report conversions with cart data.</td>,True,metrics.cross_sell_revenue_micros,False,True,True,N/A
METRIC,DOUBLE,"<td>Cross-sell units sold is the total number of products sold as a result of advertising a different product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If these products don't match then this is considered cross-sell. Cross-sell units sold is the total number of cross-sold products from all orders attributed to your ads. Example: Someone clicked on a Shopping ad for a hat then bought the same hat, a shirt and a jacket. The cross-sell units sold in this order is 2. This metric is only available if you report conversions with cart data.</td>",True,metrics.cross_sell_units_sold,False,True,True,N/A
METRIC,DOUBLE,<td>The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions).</td>,True,metrics.ctr,False,True,True,N/A
METRIC,DOUBLE,"<td>Shows how your historic conversions data would look under the attribution model you've currently selected. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.current_model_attributed_conversions,False,True,True,N/A
METRIC,DOUBLE,"<td>Current model attributed conversions from interactions divided by the number of ad interactions (such as clicks for text ads or views for video ads). This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.current_model_attributed_conversions_from_interactions_rate,False,True,True,N/A
METRIC,DOUBLE,"<td>The value of current model attributed conversions from interactions divided by the number of ad interactions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.current_model_attributed_conversions_from_interactions_value_per_interaction,False,True,True,N/A
METRIC,DOUBLE,"<td>The value of current model attributed conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.current_model_attributed_conversions_value,False,True,True,N/A
METRIC,DOUBLE,"<td>The value of current model attributed conversions divided by the cost of ad interactions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.</td>",True,metrics.current_model_attributed_conversions_value_per_cost,False,True,True,N/A
METRIC,INT64,<td>Number of impressions in which the store location was shown or the location was used for targeting. This measure is coming from Asset based location.</td>,True,metrics.eligible_impressions_from_location_asset_store_reach,False,True,True,N/A
METRIC,DOUBLE,<td>How often people engage with your ad after it's shown to them. This is the number of ad expansions divided by the number of times your ad is shown.</td>,True,metrics.engagement_rate,False,True,True,N/A
METRIC,INT64,"<td>The number of engagements. An engagement occurs when a viewer expands your Lightbox ad. Also, in the future, other ad types may support engagement metrics.</td>",True,metrics.engagements,False,True,True,N/A
METRIC,INT64,<td>The number of times the ad was forwarded to someone else as a message.</td>,True,metrics.gmail_forwards,False,True,True,N/A
METRIC,INT64,<td>The number of times someone has saved your Gmail ad to their inbox as a message.</td>,True,metrics.gmail_saves,False,True,True,N/A
METRIC,INT64,<td>The number of clicks to the landing page on the expanded state of Gmail ads.</td>,True,metrics.gmail_secondary_clicks,False,True,True,N/A
METRIC,DOUBLE,"<td>Gross profit margin is the percentage gross profit you made from orders attributed to your ads, after taking out the cost of goods sold (COGS). How it works: You report conversions with cart data for completed purchases on your website. Gross profit margin is the gross profit you made divided by your total revenue and multiplied by 100%. Gross profit margin calculations only include products that have a cost of goods sold value in Merchant Center. Example: Someone bought a hat and a shirt in an order on your website. The hat is priced $10 and has a cost of goods sold value of $3. The shirt is priced $20 but has no cost of goods sold value. Gross profit margin for this order will only take into account the hat because it has a cost of goods sold value, so it's 70% = ($10 - $3)/$10 x 100%. This metric is only available if you report conversions with cart data.</td>",True,metrics.gross_profit_margin,False,True,True,N/A
METRIC,INT64,"<td>Gross profit is the profit you made from orders attributed to your ads minus the cost of goods sold (COGS). How it works: Gross profit is the revenue you made from sales attributed to your ads minus cost of goods sold. Gross profit calculations only include products that have a cost of goods sold value in Merchant Center. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt in an order from your website. The hat is priced $10 and the shirt is priced $20. The hat has a cost of goods sold value of $3, but the shirt has no cost of goods sold value. Gross profit for this order will only take into account the hat, so it's $7 = $10 - $3. This metric is only available if you report conversions with cart data.</td>",True,metrics.gross_profit_micros,False,True,True,N/A
METRIC,ENUM,<td>The creative historical quality score.</td>,True,metrics.historical_creative_quality_score,False,True,True,google.ads.googleads.v15.enums.QualityScoreBucketEnum.QualityScoreBucket
METRIC,ENUM,<td>The quality of historical landing page experience.</td>,True,metrics.historical_landing_page_quality_score,False,True,True,google.ads.googleads.v15.enums.QualityScoreBucketEnum.QualityScoreBucket
METRIC,INT64,<td>The historical quality score.</td>,True,metrics.historical_quality_score,False,True,True,N/A
METRIC,ENUM,<td>The historical search predicted click through rate (CTR).</td>,True,metrics.historical_search_predicted_ctr,False,True,True,google.ads.googleads.v15.enums.QualityScoreBucketEnum.QualityScoreBucket
METRIC,DOUBLE,<td>Average lead value based on clicks.</td>,True,metrics.hotel_average_lead_value_micros,False,True,True,N/A
METRIC,INT64,"<td>Commission bid rate in micros. A 20% commission is represented as 200,000.</td>",True,metrics.hotel_commission_rate_micros,False,True,True,N/A
METRIC,INT64,<td>The number of impressions that hotel partners could have had given their feed performance.</td>,True,metrics.hotel_eligible_impressions,False,True,True,N/A
METRIC,DOUBLE,<td>Expected commission cost. The result of multiplying the commission value times the hotel_commission_rate in advertiser currency.</td>,True,metrics.hotel_expected_commission_cost,False,True,True,N/A
METRIC,DOUBLE,<td>The average price difference between the price offered by reporting hotel advertiser and the cheapest price offered by the competing advertiser.</td>,True,metrics.hotel_price_difference_percentage,False,True,True,N/A
METRIC,INT64,<td>Count of how often your ad has appeared on a search results page or website on the Google Network.</td>,True,metrics.impressions,False,True,True,N/A
METRIC,INT64,<td>The number of times a store's location-based ad was shown. This metric applies to feed items only.</td>,True,metrics.impressions_from_store_reach,False,True,True,N/A
METRIC,ENUM,<td>The types of payable and free interactions.</td>,True,metrics.interaction_event_types,True,True,False,google.ads.googleads.v15.enums.InteractionEventTypeEnum.InteractionEventType
METRIC,DOUBLE,<td>How often people interact with your ad after it is shown to them. This is the number of interactions divided by the number of times your ad is shown.</td>,True,metrics.interaction_rate,False,True,True,N/A
METRIC,INT64,"<td>The number of interactions. An interaction is the main user action associated with an ad format-clicks for text and shopping ads, views for video ads, and so on.</td>",True,metrics.interactions,False,True,True,N/A
METRIC,DOUBLE,<td>The percentage of clicks filtered out of your total number of clicks (filtered + non-filtered clicks) during the reporting period.</td>,True,metrics.invalid_click_rate,False,True,True,N/A
METRIC,INT64,<td>Number of clicks Google considers illegitimate and doesn't charge you for.</td>,True,metrics.invalid_clicks,False,True,True,N/A
METRIC,INT64,"<td>Lead cost of goods sold (COGS) is the total cost of products sold as a result of advertising the same product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If the advertised and sold products match, then the cost of these goods is counted under lead cost of goods sold. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat has a cost of goods sold value of $3, the shirt has a cost of goods sold value of $5. The lead cost of goods sold for this order is $3. This metric is only available if you report conversions with cart data.</td>",True,metrics.lead_cost_of_goods_sold_micros,False,True,True,N/A
METRIC,INT64,"<td>Lead gross profit is the profit you made from products sold as a result of advertising the same product, minus cost of goods sold (COGS). How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If the advertised and sold products match, then the revenue you made from these sales minus the cost of goods sold is your lead gross profit. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat is priced $10 and has a cost of goods sold value of $3. The lead gross profit of this order is $7 = $10 - $3. This metric is only available if you report conversions with cart data.</td>",True,metrics.lead_gross_profit_micros,False,True,True,N/A
METRIC,INT64,"<td>Lead revenue is the total amount you made from products sold as a result of advertising the same product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If the advertised and sold products match, then the total value you made from the sales of these products is shown under lead revenue. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat is priced $10 and the shirt is priced $20. The lead revenue of this order is $10. This metric is only available if you report conversions with cart data.</td>",True,metrics.lead_revenue_micros,False,True,True,N/A
METRIC,DOUBLE,"<td>Lead units sold is the total number of products sold as a result of advertising the same product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If the advertised and sold products match, then the total number of these products sold is shown under lead units sold. Example: Someone clicked on a Shopping ad for a hat then bought the same hat, a shirt and a jacket. The lead units sold in this order is 1. This metric is only available if you report conversions with cart data.</td>",True,metrics.lead_units_sold,False,True,True,N/A
METRIC,DOUBLE,<td>Number of message chats initiated (message_chats) divided by the number of message impressions (message_impressions). Rate at which a user initiates a message chat from an ad impression with a messaging option and message tracking enabled. Note that this rate can be more than 1.0 for a given message impression.</td>,True,metrics.message_chat_rate,False,True,True,N/A
METRIC,INT64,<td>Number of message chats initiated for Click To Message impressions that were message tracking eligible.</td>,True,metrics.message_chats,False,True,True,N/A
METRIC,INT64,<td>Number of Click To Message impressions that were message tracking eligible.</td>,True,metrics.message_impressions,False,True,True,N/A
METRIC,DOUBLE,<td>The percentage of mobile clicks that go to a mobile-friendly page.</td>,True,metrics.mobile_friendly_clicks_percentage,False,True,True,N/A
METRIC,DOUBLE,"<td>New customers' lifetime conversion value. If you have set up customer acquisition goal at either account level or campaign level, this will include the additional conversion value from new customers for biddable conversions. If your campaign has adopted the customer acquisition goal and selected ""bid higher for new customers"", these values will be included in ""conversions_value"" for optimization. See <a href=""https://support.google.com/google-ads/answer/12080169"">https://support.google.com/google-ads/answer/12080169</a> for more details.</td>",True,metrics.new_customer_lifetime_value,False,True,True,N/A
METRIC,DOUBLE,<td>Total optimization score uplift of all recommendations.</td>,True,metrics.optimization_score_uplift,False,True,True,N/A
