attribute_filterable,attribute_repeated,attribute_selectable,attribute_sortable,attribute_field_description,attribute_category,attribute_data_type,attribute_name,attribute_type_url
False,True,True,False,The resource names of the extension feed items to serve under the ad group. ExtensionFeedItem resource names have the form: customers/{customer_id}/extensionFeedItems/{feed_item_id},ATTRIBUTE,RESOURCE_NAME,ad_group_extension_setting.extension_feed_items,N/A
True,False,True,True,Immutable. The extension type of the ad group extension setting.,ATTRIBUTE,ENUM,ad_group_extension_setting.extension_type,google.ads.googleads.v15.enums.ExtensionTypeEnum.ExtensionType
True,False,True,False,Immutable. The resource name of the ad group extension setting. AdGroupExtensionSetting resource names have the form: customers/{customer_id}/adGroupExtensionSettings/{ad_group_id}~{extension_type},ATTRIBUTE,RESOURCE_NAME,ad_group_extension_setting.resource_name,N/A
True,False,True,False,Immutable. The ad group to which the label is attached.,ATTRIBUTE,RESOURCE_NAME,ad_group_label.ad_group,N/A
True,False,True,False,Immutable. The label assigned to the ad group.,ATTRIBUTE,RESOURCE_NAME,ad_group_label.label,N/A
True,False,True,False,Immutable. The resource name of the ad group label. Ad group label resource names have the form: customers/{customer_id}/adGroupLabels/{ad_group_id}~{label_id},ATTRIBUTE,RESOURCE_NAME,ad_group_label.resource_name,N/A
True,False,True,False,Immutable. The ad group being linked to the feed.,ATTRIBUTE,RESOURCE_NAME,ad_group_feed.ad_group,N/A
True,False,True,False,Immutable. The feed being linked to the ad group.,ATTRIBUTE,RESOURCE_NAME,ad_group_feed.feed,N/A
True,False,True,True,"String representation of the Function. Examples: 1. IDENTITY(true) or IDENTITY(false). All or no feed items served. 2. EQUALS(CONTEXT.DEVICE,""Mobile"") 3. IN(FEED_ITEM_ID,{1000001,1000002,1000003}) 4. CONTAINS_ANY(FeedAttribute[12345678,0],{""Mars cruise"",""Venus cruise""}) 5. AND(IN(FEED_ITEM_ID,{10001,10002}),EQUALS(CONTEXT.DEVICE,""Mobile"")) For more details, visit https://developers.google.com/google-ads/api/docs/extensions/feeds/matching-functions Note that because multiple strings may represent the same underlying function (whitespace and single versus double quotation marks, for example), the value returned may not be identical to the string sent in a mutate request.",ATTRIBUTE,STRING,ad_group_feed.matching_function.function_string,N/A
False,True,True,False,The operands on the left hand side of the equation. This is also the operand to be used for single operand expressions such as NOT.,ATTRIBUTE,MESSAGE,ad_group_feed.matching_function.left_operands,google.ads.googleads.v15.common.Operand
True,False,True,False,Immutable. The ad group to which the customizer attribute is linked.,ATTRIBUTE,RESOURCE_NAME,ad_group_customizer.ad_group,N/A
True,False,True,True,Operator for a function.,ATTRIBUTE,ENUM,ad_group_feed.matching_function.operator,google.ads.googleads.v15.enums.MatchingFunctionOperatorEnum.MatchingFunctionOperator
False,True,True,False,The operands on the right hand side of the equation.,ATTRIBUTE,MESSAGE,ad_group_feed.matching_function.right_operands,google.ads.googleads.v15.common.Operand
True,True,True,False,Indicates which placeholder types the feed may populate under the connected ad group. Required.,ATTRIBUTE,ENUM,ad_group_feed.placeholder_types,google.ads.googleads.v15.enums.PlaceholderTypeEnum.PlaceholderType
True,False,True,False,Required. Immutable. The customizer attribute which is linked to the ad group.,ATTRIBUTE,RESOURCE_NAME,ad_group_customizer.customizer_attribute,N/A
True,False,True,False,Immutable. The resource name of the ad group customizer. Ad group customizer resource names have the form: customers/{customer_id}/adGroupCustomizers/{ad_group_id}~{customizer_attribute_id},ATTRIBUTE,RESOURCE_NAME,ad_group_customizer.resource_name,N/A
True,False,True,True,Output only. The status of the ad group customizer.,ATTRIBUTE,ENUM,ad_group_customizer.status,google.ads.googleads.v15.enums.CustomizerValueStatusEnum.CustomizerValueStatus
True,False,True,True,Required. Value to insert in creative text. Customizer values of all types are stored as string to make formatting unambiguous.,ATTRIBUTE,STRING,ad_group_customizer.value.string_value,N/A
True,False,True,False,Immutable. The resource name of the ad group feed. Ad group feed resource names have the form: `customers/{customer_id}/adGroupFeeds/{ad_group_id}~{feed_id},ATTRIBUTE,RESOURCE_NAME,ad_group_feed.resource_name,N/A
True,False,True,True,Output only. Status of the ad group feed. This field is read-only.,ATTRIBUTE,ENUM,ad_group_feed.status,google.ads.googleads.v15.enums.FeedLinkStatusEnum.FeedLinkStatus
True,False,True,True,Required. The data type for the customizer value. It must match the attribute type. The string_value content must match the constraints associated with the type.,ATTRIBUTE,ENUM,ad_group_customizer.value.type,google.ads.googleads.v15.enums.CustomizerAttributeTypeEnum.CustomizerAttributeType
True,False,True,False,Immutable. The ad group criterion to which the label is attached.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion_label.ad_group_criterion,N/A
True,False,True,False,Immutable. The label assigned to the ad group criterion.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion_label.label,N/A
True,False,True,False,Immutable. The resource name of the ad group criterion label. Ad group criterion label resource names have the form: customers/{customer_id}/adGroupCriterionLabels/{ad_group_id}~{criterion_id}~{label_id},ATTRIBUTE,RESOURCE_NAME,ad_group_criterion_label.resource_name,N/A
True,False,True,False,Immutable. The ad group criterion to which the customizer attribute is linked. It must be a keyword criterion.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion_customizer.ad_group_criterion,N/A
True,False,True,False,Required. Immutable. The customizer attribute which is linked to the ad group criterion.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion_customizer.customizer_attribute,N/A
True,False,True,False,Immutable. The resource name of the ad group criterion customizer. Ad group criterion customizer resource names have the form: customers/{customer_id}/adGroupCriterionCustomizers/{ad_group_id}~{criterion_id}~{customizer_attribute_id},ATTRIBUTE,RESOURCE_NAME,ad_group_criterion_customizer.resource_name,N/A
True,False,True,True,Output only. The status of the ad group criterion customizer.,ATTRIBUTE,ENUM,ad_group_criterion_customizer.status,google.ads.googleads.v15.enums.CustomizerValueStatusEnum.CustomizerValueStatus
True,False,True,True,Required. Value to insert in creative text. Customizer values of all types are stored as string to make formatting unambiguous.,ATTRIBUTE,STRING,ad_group_criterion_customizer.value.string_value,N/A
True,False,True,True,Required. The data type for the customizer value. It must match the attribute type. The string_value content must match the constraints associated with the type.,ATTRIBUTE,ENUM,ad_group_criterion_customizer.value.type,google.ads.googleads.v15.enums.CustomizerAttributeTypeEnum.CustomizerAttributeType
True,False,True,False,Immutable. The ad group to which the criterion belongs.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.ad_group,N/A
True,False,True,True,Type of the age range.,ATTRIBUTE,ENUM,ad_group_criterion.age_range.type,google.ads.googleads.v15.enums.AgeRangeTypeEnum.AgeRangeType
True,False,True,True,Type of the app payment model.,ATTRIBUTE,ENUM,ad_group_criterion.app_payment_model.type,google.ads.googleads.v15.enums.AppPaymentModelTypeEnum.AppPaymentModelType
True,False,True,True,Output only. Approval status of the criterion.,ATTRIBUTE,ENUM,ad_group_criterion.approval_status,google.ads.googleads.v15.enums.AdGroupCriterionApprovalStatusEnum.AdGroupCriterionApprovalStatus
True,False,True,False,Immutable. The ad group to which this asset set is linked.,ATTRIBUTE,RESOURCE_NAME,ad_group_asset_set.ad_group,N/A
True,False,True,True,The Audience resource name.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.audience.audience,N/A
True,False,True,True,The modifier for the bid when the criterion matches. The modifier must be in the range: 0.1 - 10.0. Most targetable criteria types support modifiers.,ATTRIBUTE,DOUBLE,ad_group_criterion.bid_modifier,N/A
True,False,True,False,Immutable. The asset set which is linked to the ad group.,ATTRIBUTE,RESOURCE_NAME,ad_group_asset_set.asset_set,N/A
True,False,True,False,Immutable. The resource name of the ad group asset set. Ad group asset set resource names have the form: customers/{customer_id}/adGroupAssetSets/{ad_group_id}~{asset_set_id},ATTRIBUTE,RESOURCE_NAME,ad_group_asset_set.resource_name,N/A
True,False,True,True,Output only. The status of the ad group asset set. Read-only.,ATTRIBUTE,ENUM,ad_group_asset_set.status,google.ads.googleads.v15.enums.AssetSetLinkStatusEnum.AssetSetLinkStatus
True,False,True,True,The CombinedAudience resource name.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.combined_audience.combined_audience,N/A
True,False,True,True,The CPC (cost-per-click) bid.,ATTRIBUTE,INT64,ad_group_criterion.cpc_bid_micros,N/A
True,False,True,True,The CPM (cost-per-thousand viewable impressions) bid.,ATTRIBUTE,INT64,ad_group_criterion.cpm_bid_micros,N/A
True,False,True,True,The CPV (cost-per-view) bid.,ATTRIBUTE,INT64,ad_group_criterion.cpv_bid_micros,N/A
True,False,True,True,Output only. The ID of the criterion. This field is ignored for mutates.,ATTRIBUTE,INT64,ad_group_criterion.criterion_id,N/A
True,False,True,True,The CustomInterest resource name.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.custom_affinity.custom_affinity,N/A
True,False,True,True,The CustomAudience resource name.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.custom_audience.custom_audience,N/A
True,False,True,True,The CustomInterest resource name.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.custom_intent.custom_intent,N/A
True,True,True,False,Output only. List of disapproval reasons of the criterion. The different reasons for disapproving a criterion can be found here: https://support.google.com/adspolicy/answer/6008942 This field is read-only.,ATTRIBUTE,STRING,ad_group_criterion.disapproval_reasons,N/A
True,False,True,True,Output only. The display name of the criterion. This field is ignored for mutates.,ATTRIBUTE,STRING,ad_group_criterion.display_name,N/A
True,False,True,True,Output only. The effective CPC (cost-per-click) bid.,ATTRIBUTE,INT64,ad_group_criterion.effective_cpc_bid_micros,N/A
True,False,True,True,Output only. Source of the effective CPC bid.,ATTRIBUTE,ENUM,ad_group_criterion.effective_cpc_bid_source,google.ads.googleads.v15.enums.BiddingSourceEnum.BiddingSource
True,False,True,True,Output only. The effective CPM (cost-per-thousand viewable impressions) bid.,ATTRIBUTE,INT64,ad_group_criterion.effective_cpm_bid_micros,N/A
True,False,True,True,Output only. Source of the effective CPM bid.,ATTRIBUTE,ENUM,ad_group_criterion.effective_cpm_bid_source,google.ads.googleads.v15.enums.BiddingSourceEnum.BiddingSource
True,False,True,True,Output only. The effective CPV (cost-per-view) bid.,ATTRIBUTE,INT64,ad_group_criterion.effective_cpv_bid_micros,N/A
True,False,True,True,Output only. Source of the effective CPV bid.,ATTRIBUTE,ENUM,ad_group_criterion.effective_cpv_bid_source,google.ads.googleads.v15.enums.BiddingSourceEnum.BiddingSource
True,False,True,True,Output only. The effective Percent CPC bid amount.,ATTRIBUTE,INT64,ad_group_criterion.effective_percent_cpc_bid_micros,N/A
True,False,True,True,Output only. Source of the effective Percent CPC bid.,ATTRIBUTE,ENUM,ad_group_criterion.effective_percent_cpc_bid_source,google.ads.googleads.v15.enums.BiddingSourceEnum.BiddingSource
True,True,True,False,The list of possible final mobile URLs after all cross-domain redirects.,ATTRIBUTE,STRING,ad_group_criterion.final_mobile_urls,N/A
True,False,True,True,URL template for appending params to final URL.,ATTRIBUTE,STRING,ad_group_criterion.final_url_suffix,N/A
True,True,True,False,The list of possible final URLs after all cross-domain redirects for the ad.,ATTRIBUTE,STRING,ad_group_criterion.final_urls,N/A
True,False,True,True,Type of the gender.,ATTRIBUTE,ENUM,ad_group_criterion.gender.type,google.ads.googleads.v15.enums.GenderTypeEnum.GenderType
True,False,True,True,Type of the income range.,ATTRIBUTE,ENUM,ad_group_criterion.income_range.type,google.ads.googleads.v15.enums.IncomeRangeTypeEnum.IncomeRangeType
True,False,True,True,The match type of the keyword.,ATTRIBUTE,ENUM,ad_group_criterion.keyword.match_type,google.ads.googleads.v15.enums.KeywordMatchTypeEnum.KeywordMatchType
True,False,True,True,The text of the keyword (at most 80 characters and 10 words).,ATTRIBUTE,STRING,ad_group_criterion.keyword.text,N/A
True,False,True,False,Immutable. The ad group ad to which the label is attached.,ATTRIBUTE,RESOURCE_NAME,ad_group_ad_label.ad_group_ad,N/A
True,True,True,False,Output only. The resource names of labels attached to this ad group criterion.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.labels,N/A
True,False,True,False,The language constant resource name.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.language.language_constant,N/A
True,False,True,False,Immutable. The label assigned to the ad group ad.,ATTRIBUTE,RESOURCE_NAME,ad_group_ad_label.label,N/A
True,False,True,False,Immutable. The resource name of the ad group ad label. Ad group ad label resource names have the form: customers/{customer_id}/adGroupAdLabels/{ad_group_id}~{ad_id}~{label_id},ATTRIBUTE,RESOURCE_NAME,ad_group_ad_label.resource_name,N/A
True,False,True,False,Immutable. The ad group to which this criterion belongs.,ATTRIBUTE,RESOURCE_NAME,ad_group_bid_modifier.ad_group,N/A
True,False,True,False,String value of the activity country. The Geo Target Constant resource name.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.listing_group.case_value.activity_country.value,N/A
True,False,True,True,String value of the activity ID.,ATTRIBUTE,STRING,ad_group_criterion.listing_group.case_value.activity_id.value,N/A
True,False,True,True,"Output only. The base ad group from which this draft/trial adgroup bid modifier was created. If ad_group is a base ad group then this field will be equal to ad_group. If the ad group was created in the draft or trial and has no corresponding base ad group, then this field will be null. This field is readonly.",ATTRIBUTE,RESOURCE_NAME,ad_group_bid_modifier.base_ad_group,N/A
True,False,True,True,The modifier for the bid when the criterion matches. The modifier must be in the range: 0.1 - 10.0. The range is 1.0 - 6.0 for PreferredContent. Use 0 to opt out of a Device type.,ATTRIBUTE,DOUBLE,ad_group_bid_modifier.bid_modifier,N/A
True,False,True,True,Output only. Bid modifier source.,ATTRIBUTE,ENUM,ad_group_bid_modifier.bid_modifier_source,google.ads.googleads.v15.enums.BidModifierSourceEnum.BidModifierSource
True,False,True,True,Long value of the activity rating.,ATTRIBUTE,INT64,ad_group_criterion.listing_group.case_value.activity_rating.value,N/A
True,False,True,False,The Geo Target Constant resource name.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.listing_group.case_value.hotel_city.city_criterion,N/A
True,False,True,True,Output only. The ID of the criterion to bid modify. This field is ignored for mutates.,ATTRIBUTE,INT64,ad_group_bid_modifier.criterion_id,N/A
True,False,True,False,Type of the device.,ATTRIBUTE,ENUM,ad_group_bid_modifier.device.type,google.ads.googleads.v15.enums.DeviceEnum.Device
True,False,True,True,High end of the number of days prior to the stay.,ATTRIBUTE,INT64,ad_group_bid_modifier.hotel_advance_booking_window.max_days,N/A
True,False,True,True,Long value of the hotel class.,ATTRIBUTE,INT64,ad_group_criterion.listing_group.case_value.hotel_class.value,N/A
True,False,True,False,The Geo Target Constant resource name.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.listing_group.case_value.hotel_country_region.country_region_criterion,N/A
True,False,True,True,Low end of the number of days prior to the stay.,ATTRIBUTE,INT64,ad_group_bid_modifier.hotel_advance_booking_window.min_days,N/A
True,False,True,True,End date in the YYYY-MM-DD format.,ATTRIBUTE,STRING,ad_group_bid_modifier.hotel_check_in_date_range.end_date,N/A
True,False,True,True,Start date in the YYYY-MM-DD format.,ATTRIBUTE,STRING,ad_group_bid_modifier.hotel_check_in_date_range.start_date,N/A
True,False,True,True,String value of the hotel ID.,ATTRIBUTE,STRING,ad_group_criterion.listing_group.case_value.hotel_id.value,N/A
True,False,True,False,The Geo Target Constant resource name.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.listing_group.case_value.hotel_state.state_criterion,N/A
True,False,True,False,The day of the week.,ATTRIBUTE,ENUM,ad_group_bid_modifier.hotel_check_in_day.day_of_week,google.ads.googleads.v15.enums.DayOfWeekEnum.DayOfWeek
True,False,True,False,Type of the hotel date selection,ATTRIBUTE,ENUM,ad_group_bid_modifier.hotel_date_selection_type.type,google.ads.googleads.v15.enums.HotelDateSelectionTypeEnum.HotelDateSelectionType
True,False,True,True,High end of the number of nights in the stay.,ATTRIBUTE,INT64,ad_group_bid_modifier.hotel_length_of_stay.max_nights,N/A
True,False,True,True,Low end of the number of nights in the stay.,ATTRIBUTE,INT64,ad_group_bid_modifier.hotel_length_of_stay.min_nights,N/A
True,False,True,True,Output only. AdGroup ID of the simulation.,ATTRIBUTE,INT64,ad_group_criterion_simulation.ad_group_id,N/A
True,False,True,True,String value of the product brand.,ATTRIBUTE,STRING,ad_group_criterion.listing_group.case_value.product_brand.value,N/A
True,False,True,True,ID of the product category. This ID is equivalent to the google_product_category ID as described in this article: https://support.google.com/merchants/answer/6324436,ATTRIBUTE,INT64,ad_group_criterion.listing_group.case_value.product_category.category_id,N/A
True,False,True,False,Immutable. The resource name of the ad group bid modifier. Ad group bid modifier resource names have the form: customers/{customer_id}/adGroupBidModifiers/{ad_group_id}~{criterion_id},ATTRIBUTE,RESOURCE_NAME,ad_group_bid_modifier.resource_name,N/A
False,True,True,False,Projected metrics for a series of CPC bid amounts.,ATTRIBUTE,MESSAGE,ad_group_criterion_simulation.cpc_bid_point_list.points,google.ads.googleads.v15.common.CpcBidSimulationPoint
True,False,True,True,Output only. Criterion ID of the simulation.,ATTRIBUTE,INT64,ad_group_criterion_simulation.criterion_id,N/A
True,False,True,True,"Output only. Last day on which the simulation is based, in YYYY-MM-DD format.",ATTRIBUTE,DATE,ad_group_criterion_simulation.end_date,N/A
True,False,True,True,Level of the product category.,ATTRIBUTE,ENUM,ad_group_criterion.listing_group.case_value.product_category.level,google.ads.googleads.v15.enums.ProductCategoryLevelEnum.ProductCategoryLevel
True,False,True,True,Value of the locality.,ATTRIBUTE,ENUM,ad_group_criterion.listing_group.case_value.product_channel.channel,google.ads.googleads.v15.enums.ProductChannelEnum.ProductChannel
True,False,True,True,Output only. How the simulation modifies the field.,ATTRIBUTE,ENUM,ad_group_criterion_simulation.modification_method,google.ads.googleads.v15.enums.SimulationModificationMethodEnum.SimulationModificationMethod
False,True,True,False,Projected metrics for a series of percent CPC bid amounts.,ATTRIBUTE,MESSAGE,ad_group_criterion_simulation.percent_cpc_bid_point_list.points,google.ads.googleads.v15.common.PercentCpcBidSimulationPoint
True,False,True,False,Output only. The resource name of the ad group criterion simulation. Ad group criterion simulation resource names have the form: customers/{customer_id}/adGroupCriterionSimulations/{ad_group_id}~{criterion_id}~{type}~{modification_method}~{start_date}~{end_date},ATTRIBUTE,RESOURCE_NAME,ad_group_criterion_simulation.resource_name,N/A
True,False,True,True,"Output only. First day on which the simulation is based, in YYYY-MM-DD format.",ATTRIBUTE,DATE,ad_group_criterion_simulation.start_date,N/A
True,False,True,True,Immutable. The resource name of the account-level budget associated with this proposal.,ATTRIBUTE,RESOURCE_NAME,account_budget_proposal.account_budget,N/A
True,False,True,True,Value of the availability.,ATTRIBUTE,ENUM,ad_group_criterion.listing_group.case_value.product_channel_exclusivity.channel_exclusivity,google.ads.googleads.v15.enums.ProductChannelExclusivityEnum.ProductChannelExclusivity
True,False,True,True,Value of the condition.,ATTRIBUTE,ENUM,ad_group_criterion.listing_group.case_value.product_condition.condition,google.ads.googleads.v15.enums.ProductConditionEnum.ProductCondition
True,False,True,True,Output only. The field that the simulation modifies.,ATTRIBUTE,ENUM,ad_group_criterion_simulation.type,google.ads.googleads.v15.enums.SimulationTypeEnum.SimulationType
False,False,True,True,"Output only. The date time when this account-level budget was approved, if applicable.",ATTRIBUTE,DATE,account_budget_proposal.approval_date_time,N/A
True,False,True,True,Output only. The approved end date time in yyyy-mm-dd hh:mm:ss format.,ATTRIBUTE,DATE,account_budget_proposal.approved_end_date_time,N/A
True,False,True,True,"Output only. The approved end date time as a well-defined type, for example, FOREVER.",ATTRIBUTE,ENUM,account_budget_proposal.approved_end_time_type,google.ads.googleads.v15.enums.TimeTypeEnum.TimeType
True,False,True,True,Indicates the index of the custom attribute.,ATTRIBUTE,ENUM,ad_group_criterion.listing_group.case_value.product_custom_attribute.index,google.ads.googleads.v15.enums.ProductCustomAttributeIndexEnum.ProductCustomAttributeIndex
True,False,True,True,String value of the product custom attribute.,ATTRIBUTE,STRING,ad_group_criterion.listing_group.case_value.product_custom_attribute.value,N/A
True,False,True,True,Output only. The approved spending limit in micros. One million is equivalent to one unit.,ATTRIBUTE,INT64,account_budget_proposal.approved_spending_limit_micros,N/A
True,False,True,True,"Output only. The approved spending limit as a well-defined type, for example, INFINITE.",ATTRIBUTE,ENUM,account_budget_proposal.approved_spending_limit_type,google.ads.googleads.v15.enums.SpendingLimitTypeEnum.SpendingLimitType
True,False,True,True,Output only. The approved start date time in yyyy-mm-dd hh:mm:ss format.,ATTRIBUTE,DATE,account_budget_proposal.approved_start_date_time,N/A
True,False,True,True,Output only. The ID of the link. This field is read only.,ATTRIBUTE,INT64,account_link.account_link_id,N/A
True,False,True,True,Value of the id.,ATTRIBUTE,STRING,ad_group_criterion.listing_group.case_value.product_item_id.value,N/A
True,False,True,True,Level of the type.,ATTRIBUTE,ENUM,ad_group_criterion.listing_group.case_value.product_type.level,google.ads.googleads.v15.enums.ProductTypeLevelEnum.ProductTypeLevel
True,False,True,False,Immutable. The resource name of the billing setup associated with this proposal.,ATTRIBUTE,RESOURCE_NAME,account_budget_proposal.billing_setup,N/A
False,False,True,True,"Output only. The date time when this account-level budget proposal was created, which is not the same as its approval date time, if applicable.",ATTRIBUTE,DATE,account_budget_proposal.creation_date_time,N/A
True,False,True,True,Output only. The ID of the proposal.,ATTRIBUTE,INT64,account_budget_proposal.id,N/A
True,False,True,True,Immutable. The resource name of the advertising partner Google Ads account. This field is required and should not be empty when creating a new Advertising Partner link. It is unable to be modified after the creation of the link.,ATTRIBUTE,RESOURCE_NAME,account_link.advertising_partner.customer,N/A
True,False,True,True,Immutable. The customer ID of the Data partner account. This field is required and should not be empty when creating a new data partner link. It is unable to be modified after the creation of the link.,ATTRIBUTE,INT64,account_link.data_partner.data_partner_id,N/A
True,False,True,True,Immutable. The resource name of the Google Ads account. This field is required and should not be empty when creating a new Google Ads link. It is unable to be modified after the creation of the link.,ATTRIBUTE,RESOURCE_NAME,account_link.google_ads.customer,N/A
True,False,True,True,Value of the type.,ATTRIBUTE,STRING,ad_group_criterion.listing_group.case_value.product_type.value,N/A
True,False,True,False,Resource name of ad group criterion which is the parent listing group subdivision. Null for the root group.,ATTRIBUTE,RESOURCE_NAME,ad_group_criterion.listing_group.parent_ad_group_criterion,N/A
True,False,True,True,"Immutable. The type of this proposal, for example, END to end the budget associated with this proposal.",ATTRIBUTE,ENUM,account_budget_proposal.proposal_type,google.ads.googleads.v15.enums.AccountBudgetProposalTypeEnum.AccountBudgetProposalType
True,False,True,True,Immutable. The proposed end date time in yyyy-mm-dd hh:mm:ss format.,ATTRIBUTE,DATE,account_budget_proposal.proposed_end_date_time,N/A
True,False,True,True,"Immutable. The proposed end date time as a well-defined type, for example, FOREVER.",ATTRIBUTE,ENUM,account_budget_proposal.proposed_end_time_type,google.ads.googleads.v15.enums.TimeTypeEnum.TimeType
True,False,True,False,Immutable. Resource name of the account link. AccountLink resource names have the form: customers/{customer_id}/accountLinks/{account_link_id},ATTRIBUTE,RESOURCE_NAME,account_link.resource_name,N/A
True,False,True,True,The status of the link.,ATTRIBUTE,ENUM,account_link.status,google.ads.googleads.v15.enums.AccountLinkStatusEnum.AccountLinkStatus
True,False,True,True,Immutable. The ID of the app analytics provider. This field should not be empty when creating a new third party app analytics link. It is unable to be modified after the creation of the link.,ATTRIBUTE,INT64,account_link.third_party_app_analytics.app_analytics_provider_id,N/A
False,False,True,False,The path of dimensions defining this listing group.,ATTRIBUTE,MESSAGE,ad_group_criterion.listing_group.path,google.ads.googleads.v15.common.ListingDimensionPath
True,False,True,True,Immutable. The name to assign to the account-level budget.,ATTRIBUTE,STRING,account_budget_proposal.proposed_name,N/A
True,False,True,True,Immutable. Notes associated with this budget.,ATTRIBUTE,STRING,account_budget_proposal.proposed_notes,N/A
True,False,True,True,Immutable. A purchase order number is a value that enables the user to help them reference this budget in their monthly invoices.,ATTRIBUTE,STRING,account_budget_proposal.proposed_purchase_order_number,N/A
True,False,True,True,"Immutable. A string that uniquely identifies a mobile application from which the data was collected to the Google Ads API. For iOS, the ID string is the 9 digit string that appears at the end of an App Store URL (for example, ""422689480"" for ""Gmail"" whose App Store link is https://apps.apple.com/us/app/gmail-email-by-google/id422689480). For Android, the ID string is the application's package name (for example, ""com.google.android.gm"" for ""Gmail"" given Google Play link https://play.google.com/store/apps/details?id=com.google.android.gm) This field should not be empty when creating a new third party app analytics link. It is unable to be modified after the creation of the link.",ATTRIBUTE,STRING,account_link.third_party_app_analytics.app_id,N/A
