field_filterable,field_repeated,field_selectable,field_sortable,field_selectable_with,field_field_description,field_category,field_data_type,field_name,field_type_url
True,False,True,True,None,"The value of conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions. When this column is selected with date, the values in date column means the conversion date. Details for the by_conversion_date columns are available at https://support.google.com/google-ads/answer/9549009.",METRIC,DOUBLE,metrics.conversions_value_by_conversion_date,N/A
True,False,True,True,None,"The value of conversions divided by the cost of ad interactions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.conversions_value_per_cost,N/A
True,False,True,True,None,The sum of your cost-per-click (CPC) and cost-per-thousand impressions (CPM) costs during this period.,METRIC,INT64,metrics.cost_micros,N/A
True,False,True,True,None,"Cost of goods sold (COGS) is the total cost of the products you sold in orders attributed to your ads. How it works: You can add a cost of goods sold value to every product in Merchant Center. If you report conversions with cart data, the products you sold are matched with their cost of goods sold value and this can be used to calculate the gross profit you made on each order. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat has a cost of goods sold value of $3, the shirt has a cost of goods sold value of $5. The cost of goods sold for this order is $8 = $3 + $5. This metric is only available if you report conversions with cart data.",METRIC,INT64,metrics.cost_of_goods_sold_micros,N/A
True,False,True,True,None,The cost of ad interactions divided by all conversions.,METRIC,DOUBLE,metrics.cost_per_all_conversions,N/A
True,False,True,True,None,"The cost of ad interactions divided by conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.cost_per_conversion,N/A
True,False,True,True,None,"The cost of ad interactions divided by current model attributed conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.cost_per_current_model_attributed_conversion,N/A
True,False,True,True,None,"Conversions from when a customer clicks on a Google Ads ad on one device, then converts on a different device or browser. Cross-device conversions are already included in all_conversions.",METRIC,DOUBLE,metrics.cross_device_conversions,N/A
True,False,True,True,None,"The sum of the value of cross-device conversions, in micros.",METRIC,INT64,metrics.cross_device_conversions_value_micros,N/A
True,False,True,True,None,"Cross-sell cost of goods sold (COGS) is the total cost of products sold as a result of advertising a different product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If these products don't match then this is considered cross-sell. Cross-sell cost of goods sold is the total cost of the products sold that weren't advertised. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat has a cost of goods sold value of $3, the shirt has a cost of goods sold value of $5. The cross-sell cost of goods sold for this order is $5. This metric is only available if you report conversions with cart data.",METRIC,INT64,metrics.cross_sell_cost_of_goods_sold_micros,N/A
True,False,True,True,None,"Cross-sell gross profit is the profit you made from products sold as a result of advertising a different product, minus cost of goods sold (COGS). How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the purchase is a sold product. If these products don't match then this is considered cross-sell. Cross-sell gross profit is the revenue you made from cross-sell attributed to your ads minus the cost of the goods sold. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The shirt is priced $20 and has a cost of goods sold value of $5. The cross-sell gross profit of this order is $15 = $20 - $5. This metric is only available if you report conversions with cart data.",METRIC,INT64,metrics.cross_sell_gross_profit_micros,N/A
True,False,True,True,None,Cross-sell revenue is the total amount you made from products sold as a result of advertising a different product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If these products don't match then this is considered cross-sell. Cross-sell revenue is the total value you made from cross-sell attributed to your ads. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat is priced $10 and the shirt is priced $20. The cross-sell revenue of this order is $20. This metric is only available if you report conversions with cart data.,METRIC,INT64,metrics.cross_sell_revenue_micros,N/A
True,False,True,True,None,"Cross-sell units sold is the total number of products sold as a result of advertising a different product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If these products don't match then this is considered cross-sell. Cross-sell units sold is the total number of cross-sold products from all orders attributed to your ads. Example: Someone clicked on a Shopping ad for a hat then bought the same hat, a shirt and a jacket. The cross-sell units sold in this order is 2. This metric is only available if you report conversions with cart data.",METRIC,DOUBLE,metrics.cross_sell_units_sold,N/A
True,False,True,True,None,The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions).,METRIC,DOUBLE,metrics.ctr,N/A
True,False,True,True,None,"Shows how your historic conversions data would look under the attribution model you've currently selected. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.current_model_attributed_conversions,N/A
True,False,True,True,None,"Current model attributed conversions from interactions divided by the number of ad interactions (such as clicks for text ads or views for video ads). This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.current_model_attributed_conversions_from_interactions_rate,N/A
True,False,True,True,None,"The value of current model attributed conversions from interactions divided by the number of ad interactions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.current_model_attributed_conversions_from_interactions_value_per_interaction,N/A
True,False,True,True,None,"The value of current model attributed conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.current_model_attributed_conversions_value,N/A
True,False,True,True,None,"The value of current model attributed conversions divided by the cost of ad interactions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.current_model_attributed_conversions_value_per_cost,N/A
True,False,True,True,None,Number of impressions in which the store location was shown or the location was used for targeting. This measure is coming from Asset based location.,METRIC,INT64,metrics.eligible_impressions_from_location_asset_store_reach,N/A
True,False,True,True,None,How often people engage with your ad after it's shown to them. This is the number of ad expansions divided by the number of times your ad is shown.,METRIC,DOUBLE,metrics.engagement_rate,N/A
True,False,True,True,None,"The number of engagements. An engagement occurs when a viewer expands your Lightbox ad. Also, in the future, other ad types may support engagement metrics.",METRIC,INT64,metrics.engagements,N/A
True,False,True,True,None,The number of times the ad was forwarded to someone else as a message.,METRIC,INT64,metrics.gmail_forwards,N/A
True,False,True,True,None,The number of times someone has saved your Gmail ad to their inbox as a message.,METRIC,INT64,metrics.gmail_saves,N/A
True,False,True,True,None,The number of clicks to the landing page on the expanded state of Gmail ads.,METRIC,INT64,metrics.gmail_secondary_clicks,N/A
True,False,True,True,None,"Gross profit margin is the percentage gross profit you made from orders attributed to your ads, after taking out the cost of goods sold (COGS). How it works: You report conversions with cart data for completed purchases on your website. Gross profit margin is the gross profit you made divided by your total revenue and multiplied by 100%. Gross profit margin calculations only include products that have a cost of goods sold value in Merchant Center. Example: Someone bought a hat and a shirt in an order on your website. The hat is priced $10 and has a cost of goods sold value of $3. The shirt is priced $20 but has no cost of goods sold value. Gross profit margin for this order will only take into account the hat because it has a cost of goods sold value, so it's 70% = ($10 - $3)/$10 x 100%. This metric is only available if you report conversions with cart data.",METRIC,DOUBLE,metrics.gross_profit_margin,N/A
True,False,True,True,None,"Gross profit is the profit you made from orders attributed to your ads minus the cost of goods sold (COGS). How it works: Gross profit is the revenue you made from sales attributed to your ads minus cost of goods sold. Gross profit calculations only include products that have a cost of goods sold value in Merchant Center. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt in an order from your website. The hat is priced $10 and the shirt is priced $20. The hat has a cost of goods sold value of $3, but the shirt has no cost of goods sold value. Gross profit for this order will only take into account the hat, so it's $7 = $10 - $3. This metric is only available if you report conversions with cart data.",METRIC,INT64,metrics.gross_profit_micros,N/A
True,False,True,True,None,The creative historical quality score.,METRIC,"ABOVE_AVERAGE,AVERAGE,BELOW_AVERAGE,UNKNOWN,UNSPECIFIED",metrics.historical_creative_quality_score,google.ads.googleads.v15.enums.QualityScoreBucketEnum.QualityScoreBucket
True,False,True,True,None,The quality of historical landing page experience.,METRIC,"ABOVE_AVERAGE,AVERAGE,BELOW_AVERAGE,UNKNOWN,UNSPECIFIED",metrics.historical_landing_page_quality_score,google.ads.googleads.v15.enums.QualityScoreBucketEnum.QualityScoreBucket
True,False,True,True,None,The historical quality score.,METRIC,INT64,metrics.historical_quality_score,N/A
True,False,True,True,None,The historical search predicted click through rate (CTR).,METRIC,"ABOVE_AVERAGE,AVERAGE,BELOW_AVERAGE,UNKNOWN,UNSPECIFIED",metrics.historical_search_predicted_ctr,google.ads.googleads.v15.enums.QualityScoreBucketEnum.QualityScoreBucket
True,False,True,True,None,Average lead value based on clicks.,METRIC,DOUBLE,metrics.hotel_average_lead_value_micros,N/A
True,False,True,True,None,"Commission bid rate in micros. A 20% commission is represented as 200,000.",METRIC,INT64,metrics.hotel_commission_rate_micros,N/A
True,False,True,True,None,The number of impressions that hotel partners could have had given their feed performance.,METRIC,INT64,metrics.hotel_eligible_impressions,N/A
True,False,True,True,None,Expected commission cost. The result of multiplying the commission value times the hotel_commission_rate in advertiser currency.,METRIC,DOUBLE,metrics.hotel_expected_commission_cost,N/A
True,False,True,True,None,The average price difference between the price offered by reporting hotel advertiser and the cheapest price offered by the competing advertiser.,METRIC,DOUBLE,metrics.hotel_price_difference_percentage,N/A
True,False,True,True,None,Count of how often your ad has appeared on a search results page or website on the Google Network.,METRIC,INT64,metrics.impressions,N/A
True,False,True,True,None,The number of times a store's location-based ad was shown. This metric applies to feed items only.,METRIC,INT64,metrics.impressions_from_store_reach,N/A
True,True,True,False,None,The types of payable and free interactions.,METRIC,"CLICK,ENGAGEMENT,NONE,UNKNOWN,UNSPECIFIED,VIDEO_VIEW",metrics.interaction_event_types,google.ads.googleads.v15.enums.InteractionEventTypeEnum.InteractionEventType
True,False,True,True,None,How often people interact with your ad after it is shown to them. This is the number of interactions divided by the number of times your ad is shown.,METRIC,DOUBLE,metrics.interaction_rate,N/A
True,False,True,True,None,"The number of interactions. An interaction is the main user action associated with an ad format-clicks for text and shopping ads, views for video ads, and so on.",METRIC,INT64,metrics.interactions,N/A
True,False,True,True,None,The percentage of clicks filtered out of your total number of clicks (filtered + non-filtered clicks) during the reporting period.,METRIC,DOUBLE,metrics.invalid_click_rate,N/A
True,False,True,True,None,Number of clicks Google considers illegitimate and doesn't charge you for.,METRIC,INT64,metrics.invalid_clicks,N/A
True,False,True,True,None,"Lead cost of goods sold (COGS) is the total cost of products sold as a result of advertising the same product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If the advertised and sold products match, then the cost of these goods is counted under lead cost of goods sold. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat has a cost of goods sold value of $3, the shirt has a cost of goods sold value of $5. The lead cost of goods sold for this order is $3. This metric is only available if you report conversions with cart data.",METRIC,INT64,metrics.lead_cost_of_goods_sold_micros,N/A
True,False,True,True,None,"Lead gross profit is the profit you made from products sold as a result of advertising the same product, minus cost of goods sold (COGS). How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If the advertised and sold products match, then the revenue you made from these sales minus the cost of goods sold is your lead gross profit. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat is priced $10 and has a cost of goods sold value of $3. The lead gross profit of this order is $7 = $10 - $3. This metric is only available if you report conversions with cart data.",METRIC,INT64,metrics.lead_gross_profit_micros,N/A
True,False,True,True,None,"Lead revenue is the total amount you made from products sold as a result of advertising the same product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If the advertised and sold products match, then the total value you made from the sales of these products is shown under lead revenue. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt. The hat is priced $10 and the shirt is priced $20. The lead revenue of this order is $10. This metric is only available if you report conversions with cart data.",METRIC,INT64,metrics.lead_revenue_micros,N/A
True,False,True,True,None,"Lead units sold is the total number of products sold as a result of advertising the same product. How it works: You report conversions with cart data for completed purchases on your website. If the ad that was interacted with before the purchase has an associated product (see Shopping Ads) then this product is considered the advertised product. Any product included in the order the customer places is a sold product. If the advertised and sold products match, then the total number of these products sold is shown under lead units sold. Example: Someone clicked on a Shopping ad for a hat then bought the same hat, a shirt and a jacket. The lead units sold in this order is 1. This metric is only available if you report conversions with cart data.",METRIC,DOUBLE,metrics.lead_units_sold,N/A
True,False,True,True,None,Number of message chats initiated (message_chats) divided by the number of message impressions (message_impressions). Rate at which a user initiates a message chat from an ad impression with a messaging option and message tracking enabled. Note that this rate can be more than 1.0 for a given message impression.,METRIC,DOUBLE,metrics.message_chat_rate,N/A
True,False,True,True,None,Number of message chats initiated for Click To Message impressions that were message tracking eligible.,METRIC,INT64,metrics.message_chats,N/A
True,False,True,True,None,Number of Click To Message impressions that were message tracking eligible.,METRIC,INT64,metrics.message_impressions,N/A
True,False,True,True,None,The percentage of mobile clicks that go to a mobile-friendly page.,METRIC,DOUBLE,metrics.mobile_friendly_clicks_percentage,N/A
True,False,True,True,None,"New customers' lifetime conversion value. If you have set up customer acquisition goal at either account level or campaign level, this will include the additional conversion value from new customers for biddable conversions. If your campaign has adopted the customer acquisition goal and selected ""bid higher for new customers"", these values will be included in ""conversions_value"" for optimization. See https://support.google.com/google-ads/answer/12080169 for more details.",METRIC,DOUBLE,metrics.new_customer_lifetime_value,N/A
True,False,True,True,None,Total optimization score uplift of all recommendations.,METRIC,DOUBLE,metrics.optimization_score_uplift,N/A
True,False,True,True,None,"URL for the optimization score page in the Google Ads web interface. This metric can be selected from customer or campaign, and can be segmented by segments.recommendation_type. For example, SELECT metrics.optimization_score_url, segments.recommendation_type FROM customer will return a URL for each unique (customer, recommendation_type) combination.",METRIC,STRING,metrics.optimization_score_url,N/A
True,False,True,True,None,"Orders is the total number of purchase conversions you received attributed to your ads. How it works: You report conversions with cart data for completed purchases on your website. If a conversion is attributed to previous interactions with your ads (clicks for text or Shopping ads, views for video ads etc.) it's counted as an order. Example: Someone clicked on a Shopping ad for a hat then bought the same hat and a shirt in an order on your website. Even though they bought 2 products, this would count as 1 order. This metric is only available if you report conversions with cart data.",METRIC,DOUBLE,metrics.orders,N/A
True,False,True,True,None,The number of times someone clicked your site's listing in the unpaid results for a particular query. See the help page at https://support.google.com/google-ads/answer/3097241 for details.,METRIC,INT64,metrics.organic_clicks,N/A
True,False,True,True,None,The number of times someone clicked your site's listing in the unpaid results (organic_clicks) divided by the total number of searches that returned pages from your site (organic_queries). See the help page at https://support.google.com/google-ads/answer/3097241 for details.,METRIC,DOUBLE,metrics.organic_clicks_per_query,N/A
