attribute_category,attribute_data_type,attribute_field_description,attribute_filterable,attribute_name,attribute_repeated,attribute_selectable,attribute_selectable_with,attribute_sortable,attribute_type_url
ATTRIBUTE,RESOURCE_NAME,"<td>Immutable. The resource name of the ad group asset. AdGroupAsset resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/adGroupAssets/{ad_group_id}~{asset_id}~{field_type}</code></td>",True,ad_group_asset.resource_name,False,True,None,False,N/A
ATTRIBUTE,BOOLEAN,"<td>Immutable. If true, this campaign uses an Audience resource for audience targeting. If false, this campaign may use audience segment criteria instead.</td>",True,ad_group.audience_setting.use_audience_grouped,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the ad group audience view. Ad group audience view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/adGroupAudienceViews/{ad_group_id}~{criterion_id}</code></td>",True,ad_group_audience_view.resource_name,False,True,None,False,N/A
ATTRIBUTE,"ADVERTISER,AUTOMATICALLY_CREATED,UNKNOWN,UNSPECIFIED",<td>Output only. Source of the adgroup asset link.</td>,True,ad_group_asset.source,False,True,None,False,google.ads.googleads.v15.enums.AssetSourceEnum.AssetSource
ATTRIBUTE,"ENABLED,PAUSED,REMOVED,UNKNOWN,UNSPECIFIED",<td>Status of the ad group asset.</td>,True,ad_group_asset.status,False,True,None,True,google.ads.googleads.v15.enums.AssetLinkStatusEnum.AssetLinkStatus
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. For draft or experiment ad groups, this field is the resource name of the base ad group from which this ad group was created. If a draft or experiment ad group does not have a base ad group, then this field is null. For base ad groups, this field equals the ad group resource name. This field is read-only.</td>",True,ad_group.base_ad_group,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,<td>Immutable. The campaign to which the ad group belongs.</td>,True,ad_group.campaign,False,True,None,False,N/A
ATTRIBUTE,INT64,<td>The maximum CPC (cost-per-click) bid.</td>,True,ad_group.cpc_bid_micros,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,<td>Output only. The ad group ad to which the asset is linked.</td>,True,ad_group_ad_asset_view.ad_group_ad,False,True,None,False,N/A
ATTRIBUTE,INT64,<td>The maximum CPM (cost-per-thousand viewable impressions) bid.</td>,True,ad_group.cpm_bid_micros,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,<td>Output only. The asset which is linked to the ad group ad.</td>,True,ad_group_ad_asset_view.asset,False,True,None,False,N/A
ATTRIBUTE,BOOLEAN,"<td>Output only. The status between the asset and the latest version of the ad. If true, the asset is linked to the latest version of the ad. If false, it means the link once existed but has been removed and is no longer present in the latest version of the ad.</td>",True,ad_group_ad_asset_view.enabled,False,True,None,True,N/A
ATTRIBUTE,"AD_IMAGE,BOOK_ON_GOOGLE,BUSINESS_LOGO,BUSINESS_NAME,CALL,CALLOUT,CALL_TO_ACTION_SELECTION,DESCRIPTION,HEADLINE,HOTEL_CALLOUT,HOTEL_PROPERTY,LANDSCAPE_LOGO,LEAD_FORM,LOGO,LONG_HEADLINE,MANDATORY_AD_TEXT,MARKETING_IMAGE,MEDIA_BUNDLE,MOBILE_APP,PORTRAIT_MARKETING_IMAGE,PRICE,PROMOTION,SITELINK,SQUARE_MARKETING_IMAGE,STRUCTURED_SNIPPET,UNKNOWN,UNSPECIFIED,VIDEO,YOUTUBE_VIDEO",<td>Output only. Role that the asset takes in the ad.</td>,True,ad_group_ad_asset_view.field_type,False,True,None,True,google.ads.googleads.v15.enums.AssetFieldTypeEnum.AssetFieldType
ATTRIBUTE,INT64,<td>The CPV (cost-per-view) bid.</td>,True,ad_group.cpv_bid_micros,False,True,None,True,N/A
ATTRIBUTE,"BEST,GOOD,LEARNING,LOW,PENDING,UNKNOWN,UNSPECIFIED",<td>Output only. Performance of an asset linkage.</td>,True,ad_group_ad_asset_view.performance_label,False,True,None,True,google.ads.googleads.v15.enums.AssetPerformanceLabelEnum.AssetPerformanceLabel
ATTRIBUTE,"AD_IMAGE,BUSINESS_LOGO,BUSINESS_NAME,BUSINESS_NAME_IN_PORTRAIT,CALL,CALLOUT,CALL_TO_ACTION,DESCRIPTION,DESCRIPTION_1,DESCRIPTION_2,DESCRIPTION_IN_PORTRAIT,HEADLINE,HEADLINE_1,HEADLINE_2,HEADLINE_3,HEADLINE_IN_PORTRAIT,LANDSCAPE_LOGO,LEAD_FORM,LOGO,LONG_HEADLINE,MARKETING_IMAGE,MARKETING_IMAGE_IN_PORTRAIT,MOBILE_APP,PORTRAIT_MARKETING_IMAGE,PRICE,PROMOTION,SITELINK,SQUARE_MARKETING_IMAGE,STRUCTURED_SNIPPET,UNKNOWN,UNSPECIFIED,YOU_TUBE_VIDEO",<td>Output only. Pinned field.</td>,True,ad_group_ad_asset_view.pinned_field,False,True,None,True,google.ads.googleads.v15.enums.ServedAssetFieldTypeEnum.ServedAssetFieldType
ATTRIBUTE,MESSAGE,<td>Output only. Policy information for the ad group ad asset.</td>,False,ad_group_ad_asset_view.policy_summary,False,True,None,False,google.ads.googleads.v15.resources.AdGroupAdAssetPolicySummary
ATTRIBUTE,"AGE_RANGE,AUDIENCE,GENDER,INCOME_RANGE,KEYWORD,PARENTAL_STATUS,PLACEMENT,TOPIC,UNKNOWN,UNSPECIFIED",<td>Allows advertisers to specify a targeting dimension on which to place absolute bids. This is only applicable for campaigns that target only the display network and not search.</td>,True,ad_group.display_custom_bid_dimension,False,True,None,True,google.ads.googleads.v15.enums.TargetingDimensionEnum.TargetingDimension
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the ad group ad asset view. Ad group ad asset view resource names have the form (Before V4): <code translate=""no"" dir=""ltr"">customers/{customer_id}/adGroupAdAssets/{AdGroupAdAsset.ad_group_id}~{AdGroupAdAsset.ad.ad_id}~{AdGroupAdAsset.asset_id}~{AdGroupAdAsset.field_type}</code> Ad group ad asset view resource names have the form (Beginning from V4): <code translate=""no"" dir=""ltr"">customers/{customer_id}/adGroupAdAssetViews/{AdGroupAdAsset.ad_group_id}~{AdGroupAdAsset.ad_id}~{AdGroupAdAsset.asset_id}~{AdGroupAdAsset.field_type}</code></td>",True,ad_group_ad_asset_view.resource_name,False,True,None,False,N/A
ATTRIBUTE,"ADVERTISER,AUTOMATICALLY_CREATED,UNKNOWN,UNSPECIFIED",<td>Output only. Source of the ad group ad asset.</td>,True,ad_group_ad_asset_view.source,False,True,None,True,google.ads.googleads.v15.enums.AssetSourceEnum.AssetSource
ATTRIBUTE,INT64,"<td>Output only. Value will be same as that of the CPC (cost-per-click) bid value when the bidding strategy is one of manual cpc, enhanced cpc, page one promoted or target outrank share, otherwise the value will be null.</td>",True,ad_group.effective_cpc_bid_micros,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the ad schedule view. AdSchedule view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/adScheduleViews/{campaign_id}~{criterion_id}</code></td>",True,ad_schedule_view.resource_name,False,True,None,False,N/A
ATTRIBUTE,INT64,<td>Output only. The effective target CPA (cost-per-acquisition). This field is read-only.</td>,True,ad_group.effective_target_cpa_micros,False,True,None,True,N/A
ATTRIBUTE,"AD_GROUP,AD_GROUP_CRITERION,CAMPAIGN_BIDDING_STRATEGY,UNKNOWN,UNSPECIFIED",<td>Output only. Source of the effective target CPA. This field is read-only.</td>,True,ad_group.effective_target_cpa_source,False,True,None,True,google.ads.googleads.v15.enums.BiddingSourceEnum.BiddingSource
ATTRIBUTE,DOUBLE,<td>Output only. The effective target ROAS (return-on-ad-spend). This field is read-only.</td>,True,ad_group.effective_target_roas,False,True,None,True,N/A
ATTRIBUTE,"AD_GROUP,AD_GROUP_CRITERION,CAMPAIGN_BIDDING_STRATEGY,UNKNOWN,UNSPECIFIED",<td>Output only. Source of the effective target ROAS. This field is read-only.</td>,True,ad_group.effective_target_roas_source,False,True,None,True,google.ads.googleads.v15.enums.BiddingSourceEnum.BiddingSource
ATTRIBUTE,"AD_IMAGE,BOOK_ON_GOOGLE,BUSINESS_LOGO,BUSINESS_NAME,CALL,CALLOUT,CALL_TO_ACTION_SELECTION,DESCRIPTION,HEADLINE,HOTEL_CALLOUT,HOTEL_PROPERTY,LANDSCAPE_LOGO,LEAD_FORM,LOGO,LONG_HEADLINE,MANDATORY_AD_TEXT,MARKETING_IMAGE,MEDIA_BUNDLE,MOBILE_APP,PORTRAIT_MARKETING_IMAGE,PRICE,PROMOTION,SITELINK,SQUARE_MARKETING_IMAGE,STRUCTURED_SNIPPET,UNKNOWN,UNSPECIFIED,VIDEO,YOUTUBE_VIDEO",<td>The asset field types that should be excluded from this ad group. Asset links with these field types will not be inherited by this ad group from the upper levels.</td>,True,ad_group.excluded_parent_asset_field_types,True,True,None,False,google.ads.googleads.v15.enums.AssetFieldTypeEnum.AssetFieldType
ATTRIBUTE,"BUSINESS_PROFILE_DYNAMIC_LOCATION_GROUP,CHAIN_DYNAMIC_LOCATION_GROUP,DYNAMIC_CUSTOM,DYNAMIC_EDUCATION,DYNAMIC_FLIGHTS,DYNAMIC_HOTELS_AND_RENTALS,DYNAMIC_JOBS,DYNAMIC_LOCAL,DYNAMIC_REAL_ESTATE,DYNAMIC_TRAVEL,HOTEL_PROPERTY,LOCATION_SYNC,MERCHANT_CENTER_FEED,PAGE_FEED,STATIC_LOCATION_GROUP,UNKNOWN,UNSPECIFIED","<td>The asset set types that should be excluded from this ad group. Asset set links with these types will not be inherited by this ad group from the upper levels. Location group types (GMB_DYNAMIC_LOCATION_GROUP, CHAIN_DYNAMIC_LOCATION_GROUP, and STATIC_LOCATION_GROUP) are child types of LOCATION_SYNC. Therefore, if LOCATION_SYNC is set for this field, all location group asset sets are not allowed to be linked to this ad group, and all Location Extension (LE) and Affiliate Location Extensions (ALE) will not be served under this ad group. Only LOCATION_SYNC is currently supported.</td>",True,ad_group.excluded_parent_asset_set_types,True,True,None,False,google.ads.googleads.v15.enums.AssetSetTypeEnum.AssetSetType
ATTRIBUTE,STRING,<td>URL template for appending params to Final URL.</td>,True,ad_group.final_url_suffix,False,True,None,True,N/A
ATTRIBUTE,INT64,<td>Output only. The ID of the ad group.</td>,True,ad_group.id,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,<td>Output only. The resource names of labels attached to this ad group.</td>,True,ad_group.labels,True,True,None,False,N/A
ATTRIBUTE,STRING,"<td>The name of the ad group. This field is required and should not be empty when creating new ad groups. It must contain fewer than 255 UTF-8 full-width characters. It must not contain any null (code point 0x0), NL line feed (code point 0xA) or carriage return (code point 0xD) characters.</td>",True,ad_group.name,False,True,None,True,N/A
ATTRIBUTE,BOOLEAN,<td>True if optimized targeting is enabled. Optimized Targeting is the replacement for Audience Expansion.</td>,True,ad_group.optimized_targeting_enabled,False,True,None,True,N/A
ATTRIBUTE,INT64,"<td>The percent cpc bid amount, expressed as a fraction of the advertised price for some good or service. The valid range for the fraction is [0,1) and the value stored here is 1,000,000 * [fraction].</td>",True,ad_group.percent_cpc_bid_micros,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Immutable. The resource name of the ad group. Ad group resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/adGroups/{ad_group_id}</code></td>",True,ad_group.resource_name,False,True,None,False,N/A
ATTRIBUTE,"ENABLED,PAUSED,REMOVED,UNKNOWN,UNSPECIFIED",<td>The status of the ad group.</td>,True,ad_group.status,False,True,None,True,google.ads.googleads.v15.enums.AdGroupStatusEnum.AdGroupStatus
ATTRIBUTE,INT64,"<td>The target CPA (cost-per-acquisition). If the ad group's campaign bidding strategy is TargetCpa or MaximizeConversions (with its target_cpa field set), then this field overrides the target CPA specified in the campaign's bidding strategy. Otherwise, this value is ignored.</td>",True,ad_group.target_cpa_micros,False,True,None,True,N/A
ATTRIBUTE,BOOLEAN,"<td>Output only. The status between the asset combination and the latest version of the ad. If true, the asset combination is linked to the latest version of the ad. If false, it means the link once existed but has been removed and is no longer present in the latest version of the ad.</td>",True,ad_group_ad_asset_combination_view.enabled,False,True,None,True,N/A
ATTRIBUTE,INT64,<td>Average amount in micros that the advertiser is willing to pay for every thousand times the ad is shown.</td>,True,ad_group.target_cpm_micros,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the ad group ad asset combination view. The combination ID is 128 bits long, where the upper 64 bits are stored in asset_combination_id_high, and the lower 64 bits are stored in asset_combination_id_low. AdGroupAd Asset Combination view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/adGroupAdAssetCombinationViews/{AdGroupAd.ad_group_id}~{AdGroupAd.ad.ad_id}~{AssetCombination.asset_combination_id_low}~{AssetCombination.asset_combination_id_high}</code></td>",True,ad_group_ad_asset_combination_view.resource_name,False,True,None,False,N/A
ATTRIBUTE,MESSAGE,<td>Output only. Served assets.</td>,False,ad_group_ad_asset_combination_view.served_assets,True,True,None,False,google.ads.googleads.v15.common.AssetUsage
ATTRIBUTE,DOUBLE,"<td>The target ROAS (return-on-ad-spend) override. If the ad group's campaign bidding strategy is TargetRoas or MaximizeConversionValue (with its target_roas field set), then this field overrides the target ROAS specified in the campaign's bidding strategy. Otherwise, this value is ignored.</td>",True,ad_group.target_roas,False,True,None,True,N/A
ATTRIBUTE,MESSAGE,<td>The per-targeting-dimension setting to restrict the reach of your campaign or ad group.</td>,False,ad_group.targeting_setting.target_restrictions,True,True,None,False,google.ads.googleads.v15.common.TargetRestriction
ATTRIBUTE,STRING,<td>The URL template for constructing a tracking URL.</td>,True,ad_group.tracking_url_template,False,True,None,True,N/A
ATTRIBUTE,"DISPLAY_STANDARD,HOTEL_ADS,PROMOTED_HOTEL_ADS,SEARCH_DYNAMIC_ADS,SEARCH_STANDARD,SHOPPING_COMPARISON_LISTING_ADS,SHOPPING_PRODUCT_ADS,SHOPPING_SMART_ADS,SMART_CAMPAIGN_ADS,TRAVEL_ADS,UNKNOWN,UNSPECIFIED,VIDEO_BUMPER,VIDEO_EFFICIENT_REACH,VIDEO_NON_SKIPPABLE_IN_STREAM,VIDEO_OUTSTREAM,VIDEO_RESPONSIVE,VIDEO_TRUE_VIEW_IN_DISPLAY,VIDEO_TRUE_VIEW_IN_STREAM",<td>Immutable. The type of the ad group.</td>,True,ad_group.type,False,True,None,True,google.ads.googleads.v15.enums.AdGroupTypeEnum.AdGroupType
ATTRIBUTE,STRING,"<td>Output only. A list of recommendations to improve the ad strength. For example, a recommendation could be ""Try adding a few more unique headlines or unpinning some assets."".</td>",False,ad_group_ad.action_items,True,True,None,False,N/A
ATTRIBUTE,MESSAGE,"<td>The list of mappings used to substitute custom parameter tags in a <code translate=""no"" dir=""ltr"">tracking_url_template</code>, <code translate=""no"" dir=""ltr"">final_urls</code>, or <code translate=""no"" dir=""ltr"">mobile_final_urls</code>.</td>",False,ad_group.url_custom_parameters,True,True,None,False,google.ads.googleads.v15.common.CustomParameter
ATTRIBUTE,BOOLEAN,"<td>Output only. Indicates if this ad was automatically added by Google Ads and not by a user. For example, this could happen when ads are automatically created as suggestions for new ads based on knowledge of how existing ads are performing.</td>",True,ad_group_ad.ad.added_by_google_ads,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the campaign audience view. Campaign audience view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/campaignAudienceViews/{campaign_id}~{criterion_id}</code></td>",True,campaign_audience_view.resource_name,False,True,None,False,N/A
ATTRIBUTE,MESSAGE,<td>List of text assets for descriptions. When the ad serves the descriptions will be selected from this list.</td>,False,ad_group_ad.ad.app_ad.descriptions,True,True,None,False,google.ads.googleads.v15.common.AdTextAsset
ATTRIBUTE,MESSAGE,<td>List of text assets for headlines. When the ad serves the headlines will be selected from this list.</td>,False,ad_group_ad.ad.app_ad.headlines,True,True,None,False,google.ads.googleads.v15.common.AdTextAsset
ATTRIBUTE,"BUSINESS_PROFILE_DYNAMIC_LOCATION_GROUP,CHAIN_DYNAMIC_LOCATION_GROUP,DYNAMIC_CUSTOM,DYNAMIC_EDUCATION,DYNAMIC_FLIGHTS,DYNAMIC_HOTELS_AND_RENTALS,DYNAMIC_JOBS,DYNAMIC_LOCAL,DYNAMIC_REAL_ESTATE,DYNAMIC_TRAVEL,HOTEL_PROPERTY,LOCATION_SYNC,MERCHANT_CENTER_FEED,PAGE_FEED,STATIC_LOCATION_GROUP,UNKNOWN,UNSPECIFIED",<td>Output only. The asset set type of the asset set type view.</td>,True,asset_set_type_view.asset_set_type,False,True,None,True,google.ads.googleads.v15.enums.AssetSetTypeEnum.AssetSetType
ATTRIBUTE,RESOURCE_NAME,<td>Immutable. The asset which is linked to the campaign.</td>,True,campaign_asset.asset,False,True,None,False,N/A
ATTRIBUTE,MESSAGE,<td>List of media bundle assets that may be used with the ad.</td>,False,ad_group_ad.ad.app_ad.html5_media_bundles,True,True,None,False,google.ads.googleads.v15.common.AdMediaBundleAsset
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the asset set type view. Asset set type view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/assetSetTypeViews/{asset_set_type}</code></td>",True,asset_set_type_view.resource_name,False,True,None,False,N/A
ATTRIBUTE,RESOURCE_NAME,<td>Immutable. The campaign to which the asset is linked.</td>,True,campaign_asset.campaign,False,True,None,False,N/A
ATTRIBUTE,"AD_IMAGE,BOOK_ON_GOOGLE,BUSINESS_LOGO,BUSINESS_NAME,CALL,CALLOUT,CALL_TO_ACTION_SELECTION,DESCRIPTION,HEADLINE,HOTEL_CALLOUT,HOTEL_PROPERTY,LANDSCAPE_LOGO,LEAD_FORM,LOGO,LONG_HEADLINE,MANDATORY_AD_TEXT,MARKETING_IMAGE,MEDIA_BUNDLE,MOBILE_APP,PORTRAIT_MARKETING_IMAGE,PRICE,PROMOTION,SITELINK,SQUARE_MARKETING_IMAGE,STRUCTURED_SNIPPET,UNKNOWN,UNSPECIFIED,VIDEO,YOUTUBE_VIDEO",<td>Immutable. Role that the asset takes under the linked campaign. Required.</td>,True,campaign_asset.field_type,False,True,None,True,google.ads.googleads.v15.enums.AssetFieldTypeEnum.AssetFieldType
ATTRIBUTE,"ELIGIBLE,LIMITED,NOT_ELIGIBLE,PAUSED,PENDING,REMOVED,UNKNOWN,UNSPECIFIED","<td>Output only. Provides the PrimaryStatus of this asset link. Primary status is meant essentially to differentiate between the plain ""status"" field, which has advertiser set values of enabled, paused, or removed. The primary status takes into account other signals (for assets its mainly policy and quality approvals) to come up with a more comprehensive status to indicate its serving state.</td>",True,campaign_asset.primary_status,False,True,None,True,google.ads.googleads.v15.enums.AssetLinkPrimaryStatusEnum.AssetLinkPrimaryStatus
ATTRIBUTE,RESOURCE_NAME,<td>The Asset resource name of this media bundle.</td>,True,ad_group_ad.ad.app_ad.html5_media_bundles.asset,False,False,None,False,N/A
ATTRIBUTE,MESSAGE,<td>Output only. Provides the details of the primary status and its associated reasons.</td>,False,campaign_asset.primary_status_details,True,True,None,False,google.ads.googleads.v15.common.AssetLinkPrimaryStatusDetails
ATTRIBUTE,"ASSET_APPROVED_LABELED,ASSET_DISAPPROVED,ASSET_LINK_PAUSED,ASSET_LINK_REMOVED,ASSET_UNDER_REVIEW,UNKNOWN,UNSPECIFIED",<td>Output only. Provides a list of reasons for why an asset is not serving or not serving at full capacity.</td>,True,campaign_asset.primary_status_reasons,True,True,None,False,google.ads.googleads.v15.enums.AssetLinkPrimaryStatusReasonEnum.AssetLinkPrimaryStatusReason
ATTRIBUTE,INT64,"<td>ID of the campaign budget that this portfolio bidding strategy is aligned with. When a portfolio and a campaign budget are aligned, that means that they are attached to the same set of campaigns. After a bidding strategy is aligned with a campaign budget, campaigns that are added to the bidding strategy must also use the aligned campaign budget.</td>",True,bidding_strategy.aligned_campaign_budget_id,False,True,None,True,N/A
ATTRIBUTE,MESSAGE,<td>List of image assets that may be displayed with the ad.</td>,False,ad_group_ad.ad.app_ad.images,True,True,None,False,google.ads.googleads.v15.common.AdImageAsset
ATTRIBUTE,RESOURCE_NAME,"<td>Immutable. The resource name of the campaign asset. CampaignAsset resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/campaignAssets/{campaign_id}~{asset_id}~{field_type}</code></td>",True,campaign_asset.resource_name,False,True,None,False,N/A
ATTRIBUTE,"ADVERTISER,AUTOMATICALLY_CREATED,UNKNOWN,UNSPECIFIED",<td>Output only. Source of the campaign asset link.</td>,True,campaign_asset.source,False,True,None,False,google.ads.googleads.v15.enums.AssetSourceEnum.AssetSource
ATTRIBUTE,INT64,<td>Output only. The number of campaigns attached to this bidding strategy. This field is read-only.</td>,True,bidding_strategy.campaign_count,False,True,None,True,N/A
