attributed_resource,description,list_attributes,list_metrics,list_segments,resource_name,segmenting_resource,with_metrics
"asset_group,campaign,customer","<p>AssetGroupSignal represents a signal in an asset group. The existence of a signal tells the performance max campaign who's most likely to convert. Performance Max uses the signal to look for new people with similar or stronger intent to find conversions across Search, Display, Video, and more.</p>","asset_group_signal.asset_group,asset_group_signal.audience.audience,asset_group_signal.resource_name",None,None,Asset Group Signal,None,0
"asset_group,campaign,customer",<p>AssetGroupListingGroupFilter represents a listing group filter tree node in an asset group.</p>,"asset_group_listing_group_filter.asset_group,asset_group_listing_group_filter.case_value.product_bidding_category.id,asset_group_listing_group_filter.case_value.product_bidding_category.level,asset_group_listing_group_filter.case_value.product_brand.value,asset_group_listing_group_filter.case_value.product_channel.channel,asset_group_listing_group_filter.case_value.product_condition.condition,asset_group_listing_group_filter.case_value.product_custom_attribute.index,asset_group_listing_group_filter.case_value.product_custom_attribute.value,asset_group_listing_group_filter.case_value.product_item_id.value,asset_group_listing_group_filter.case_value.product_type.level,asset_group_listing_group_filter.case_value.product_type.value,asset_group_listing_group_filter.id,asset_group_listing_group_filter.parent_listing_group_filter,asset_group_listing_group_filter.path,asset_group_listing_group_filter.resource_name,asset_group_listing_group_filter.type,asset_group_listing_group_filter.vertical",None,None,Asset Group Listing Group Filter,None,0
"billing_setup,customer","<p>An account-level budget. It contains information about the budget itself, as well as the most recently approved changes to the budget and proposed changes that are pending approval. The proposed changes that are pending approval, if any, are found in 'pending_proposal'. Effective details about the budget are found in fields prefixed 'approved_', 'adjusted_' and those without a prefix. Since some effective details may differ from what the user had originally requested (for example, spending limit), these differences are juxtaposed through 'proposed_', 'approved_', and possibly 'adjusted_' fields. This resource is mutated using AccountBudgetProposal and cannot be mutated directly. A budget may have at most one pending proposal at any given time. It is read through pending_proposal. Once approved, a budget may be subject to adjustments, such as credit adjustments. Adjustments create differences between the 'approved' and 'adjusted' fields, which would otherwise be identical.</p>","account_budget.adjusted_spending_limit_micros,account_budget.adjusted_spending_limit_type,account_budget.amount_served_micros,account_budget.approved_end_date_time,account_budget.approved_end_time_type,account_budget.approved_spending_limit_micros,account_budget.approved_spending_limit_type,account_budget.approved_start_date_time,account_budget.billing_setup,account_budget.id,account_budget.name,account_budget.notes,account_budget.pending_proposal.account_budget_proposal,account_budget.pending_proposal.creation_date_time,account_budget.pending_proposal.end_date_time,account_budget.pending_proposal.end_time_type,account_budget.pending_proposal.name,account_budget.pending_proposal.notes,account_budget.pending_proposal.proposal_type,account_budget.pending_proposal.purchase_order_number,account_budget.pending_proposal.spending_limit_micros,account_budget.pending_proposal.spending_limit_type,account_budget.pending_proposal.start_date_time,account_budget.proposed_end_date_time,account_budget.proposed_end_time_type,account_budget.proposed_spending_limit_micros,account_budget.proposed_spending_limit_type,account_budget.proposed_start_date_time,account_budget.purchase_order_number,account_budget.resource_name,account_budget.status,account_budget.total_adjustments_micros",None,None,Account Budget,None,0
"asset,asset_group,campaign,customer",<p>AssetGroupAsset is the link between an asset and an asset group. Adding an AssetGroupAsset links an asset with an asset group.</p>,"asset_group_asset.asset,asset_group_asset.asset_group,asset_group_asset.field_type,asset_group_asset.performance_label,asset_group_asset.policy_summary.approval_status,asset_group_asset.policy_summary.policy_topic_entries,asset_group_asset.policy_summary.review_status,asset_group_asset.primary_status,asset_group_asset.primary_status_details,asset_group_asset.primary_status_reasons,asset_group_asset.resource_name,asset_group_asset.status",None,None,Asset Group Asset,None,0
"campaign,customer",<p>An asset group. AssetGroupAsset is used to link an asset to the asset group. AssetGroupSignal is used to associate a signal to an asset group.</p>,"asset_group.ad_strength,asset_group.campaign,asset_group.final_mobile_urls,asset_group.final_urls,asset_group.id,asset_group.name,asset_group.path1,asset_group.path2,asset_group.primary_status,asset_group.primary_status_reasons,asset_group.resource_name,asset_group.status",None,None,Asset Group,None,0
customer,<p>A user list. This is a list of users a customer may target.</p>,"user_list.access_reason,user_list.account_user_list_status,user_list.basic_user_list.actions,user_list.closing_reason,user_list.crm_based_user_list.app_id,user_list.crm_based_user_list.data_source_type,user_list.crm_based_user_list.upload_key_type,user_list.description,user_list.eligible_for_display,user_list.eligible_for_search,user_list.id,user_list.integration_code,user_list.logical_user_list.rules,user_list.match_rate_percentage,user_list.membership_life_span,user_list.membership_status,user_list.name,user_list.read_only,user_list.resource_name,user_list.rule_based_user_list.flexible_rule_user_list.exclusive_operands,user_list.rule_based_user_list.flexible_rule_user_list.inclusive_operands,user_list.rule_based_user_list.flexible_rule_user_list.inclusive_rule_operator,user_list.rule_based_user_list.prepopulation_status,user_list.similar_user_list.seed_user_list,user_list.size_for_display,user_list.size_for_search,user_list.size_range_for_display,user_list.size_range_for_search,user_list.type",None,None,User List,None,0
customer,"<p>Asset is a part of an ad which can be shared across multiple ads. It can be an image (ImageAsset), a video (YoutubeVideoAsset), etc. Assets are immutable and cannot be removed. To stop an asset from serving, remove the asset from the entity that is using it.</p>","asset.book_on_google_asset,asset.call_asset.ad_schedule_targets,asset.call_asset.call_conversion_action,asset.call_asset.call_conversion_reporting_state,asset.call_asset.country_code,asset.call_asset.phone_number,asset.call_to_action_asset.call_to_action,asset.callout_asset.ad_schedule_targets,asset.callout_asset.callout_text,asset.callout_asset.end_date,asset.callout_asset.start_date,asset.discovery_carousel_card_asset.call_to_action_text,asset.discovery_carousel_card_asset.headline,asset.discovery_carousel_card_asset.marketing_image_asset,asset.discovery_carousel_card_asset.portrait_marketing_image_asset,asset.discovery_carousel_card_asset.square_marketing_image_asset,asset.dynamic_custom_asset.android_app_link,asset.dynamic_custom_asset.contextual_keywords,asset.dynamic_custom_asset.formatted_price,asset.dynamic_custom_asset.formatted_sale_price,asset.dynamic_custom_asset.id,asset.dynamic_custom_asset.id2,asset.dynamic_custom_asset.image_url,asset.dynamic_custom_asset.ios_app_link,asset.dynamic_custom_asset.ios_app_store_id,asset.dynamic_custom_asset.item_address,asset.dynamic_custom_asset.item_category,asset.dynamic_custom_asset.item_description,asset.dynamic_custom_asset.item_subtitle,asset.dynamic_custom_asset.item_title,asset.dynamic_custom_asset.price,asset.dynamic_custom_asset.sale_price,asset.dynamic_custom_asset.similar_ids,asset.dynamic_education_asset.address,asset.dynamic_education_asset.android_app_link,asset.dynamic_education_asset.contextual_keywords,asset.dynamic_education_asset.image_url,asset.dynamic_education_asset.ios_app_link,asset.dynamic_education_asset.ios_app_store_id,asset.dynamic_education_asset.location_id,asset.dynamic_education_asset.program_description,asset.dynamic_education_asset.program_id,asset.dynamic_education_asset.program_name,asset.dynamic_education_asset.school_name,asset.dynamic_education_asset.similar_program_ids,asset.dynamic_education_asset.subject,asset.dynamic_education_asset.thumbnail_image_url,asset.dynamic_flights_asset.android_app_link,asset.dynamic_flights_asset.custom_mapping,asset.dynamic_flights_asset.destination_id,asset.dynamic_flights_asset.destination_name,asset.dynamic_flights_asset.flight_description,asset.dynamic_flights_asset.flight_price,asset.dynamic_flights_asset.flight_sale_price,asset.dynamic_flights_asset.formatted_price,asset.dynamic_flights_asset.formatted_sale_price,asset.dynamic_flights_asset.image_url,asset.dynamic_flights_asset.ios_app_link,asset.dynamic_flights_asset.ios_app_store_id,asset.dynamic_flights_asset.origin_id,asset.dynamic_flights_asset.origin_name,asset.dynamic_flights_asset.similar_destination_ids,asset.dynamic_hotels_and_rentals_asset.address,asset.dynamic_hotels_and_rentals_asset.android_app_link,asset.dynamic_hotels_and_rentals_asset.category,asset.dynamic_hotels_and_rentals_asset.contextual_keywords,asset.dynamic_hotels_and_rentals_asset.description,asset.dynamic_hotels_and_rentals_asset.destination_name,asset.dynamic_hotels_and_rentals_asset.formatted_price,asset.dynamic_hotels_and_rentals_asset.formatted_sale_price,asset.dynamic_hotels_and_rentals_asset.image_url,asset.dynamic_hotels_and_rentals_asset.ios_app_link,asset.dynamic_hotels_and_rentals_asset.ios_app_store_id,asset.dynamic_hotels_and_rentals_asset.price,asset.dynamic_hotels_and_rentals_asset.property_id,asset.dynamic_hotels_and_rentals_asset.property_name,asset.dynamic_hotels_and_rentals_asset.sale_price,asset.dynamic_hotels_and_rentals_asset.similar_property_ids,asset.dynamic_hotels_and_rentals_asset.star_rating,asset.dynamic_jobs_asset.address,asset.dynamic_jobs_asset.android_app_link,asset.dynamic_jobs_asset.contextual_keywords,asset.dynamic_jobs_asset.description,asset.dynamic_jobs_asset.image_url,asset.dynamic_jobs_asset.ios_app_link,asset.dynamic_jobs_asset.ios_app_store_id,asset.dynamic_jobs_asset.job_category,asset.dynamic_jobs_asset.job_id,asset.dynamic_jobs_asset.job_subtitle,asset.dynamic_jobs_asset.job_title,asset.dynamic_jobs_asset.location_id,asset.dynamic_jobs_asset.salary,asset.dynamic_jobs_asset.similar_job_ids,asset.dynamic_local_asset.address,asset.dynamic_local_asset.android_app_link,asset.dynamic_local_asset.category,asset.dynamic_local_asset.contextual_keywords,asset.dynamic_local_asset.deal_id,asset.dynamic_local_asset.deal_name,asset.dynamic_local_asset.description,asset.dynamic_local_asset.formatted_price,asset.dynamic_local_asset.formatted_sale_price,asset.dynamic_local_asset.image_url,asset.dynamic_local_asset.ios_app_link,asset.dynamic_local_asset.ios_app_store_id,asset.dynamic_local_asset.price,asset.dynamic_local_asset.sale_price,asset.dynamic_local_asset.similar_deal_ids,asset.dynamic_local_asset.subtitle,asset.dynamic_real_estate_asset.address,asset.dynamic_real_estate_asset.android_app_link,asset.dynamic_real_estate_asset.city_name,asset.dynamic_real_estate_asset.contextual_keywords,asset.dynamic_real_estate_asset.description,asset.dynamic_real_estate_asset.formatted_price,asset.dynamic_real_estate_asset.image_url,asset.dynamic_real_estate_asset.ios_app_link,asset.dynamic_real_estate_asset.ios_app_store_id,asset.dynamic_real_estate_asset.listing_id,asset.dynamic_real_estate_asset.listing_name,asset.dynamic_real_estate_asset.listing_type,asset.dynamic_real_estate_asset.price,asset.dynamic_real_estate_asset.property_type,asset.dynamic_real_estate_asset.similar_listing_ids,asset.dynamic_travel_asset.android_app_link,asset.dynamic_travel_asset.category,asset.dynamic_travel_asset.contextual_keywords,asset.dynamic_travel_asset.destination_address,asset.dynamic_travel_asset.destination_id,asset.dynamic_travel_asset.destination_name,asset.dynamic_travel_asset.formatted_price,asset.dynamic_travel_asset.formatted_sale_price,asset.dynamic_travel_asset.image_url,asset.dynamic_travel_asset.ios_app_link,asset.dynamic_travel_asset.ios_app_store_id,asset.dynamic_travel_asset.origin_id,asset.dynamic_travel_asset.origin_name,asset.dynamic_travel_asset.price,asset.dynamic_travel_asset.sale_price,asset.dynamic_travel_asset.similar_destination_ids,asset.dynamic_travel_asset.title,asset.field_type_policy_summaries,asset.final_mobile_urls,asset.final_url_suffix,asset.final_urls,asset.hotel_callout_asset.language_code,asset.hotel_callout_asset.text,asset.hotel_property_asset.hotel_address,asset.hotel_property_asset.hotel_name,asset.hotel_property_asset.place_id,asset.id,asset.image_asset.file_size,asset.image_asset.full_size.height_pixels,asset.image_asset.full_size.url,asset.image_asset.full_size.width_pixels,asset.image_asset.mime_type,asset.lead_form_asset.background_image_asset,asset.lead_form_asset.business_name,asset.lead_form_asset.call_to_action_description,asset.lead_form_asset.call_to_action_type,asset.lead_form_asset.custom_disclosure,asset.lead_form_asset.custom_question_fields,asset.lead_form_asset.delivery_methods,asset.lead_form_asset.description,asset.lead_form_asset.desired_intent,asset.lead_form_asset.fields,asset.lead_form_asset.headline,asset.lead_form_asset.post_submit_call_to_action_type,asset.lead_form_asset.post_submit_description,asset.lead_form_asset.post_submit_headline,asset.lead_form_asset.privacy_policy_url,asset.location_asset.business_profile_locations,asset.location_asset.location_ownership_type,asset.location_asset.place_id,asset.mobile_app_asset.app_id,asset.mobile_app_asset.app_store,asset.mobile_app_asset.end_date,asset.mobile_app_asset.link_text,asset.mobile_app_asset.start_date,asset.name,asset.page_feed_asset.labels,asset.page_feed_asset.page_url,asset.policy_summary.approval_status,asset.policy_summary.policy_topic_entries,asset.policy_summary.review_status,asset.price_asset.language_code,asset.price_asset.price_offerings,asset.price_asset.price_qualifier,asset.price_asset.type,asset.promotion_asset.ad_schedule_targets,asset.promotion_asset.discount_modifier,asset.promotion_asset.end_date,asset.promotion_asset.language_code,asset.promotion_asset.money_amount_off.amount_micros,asset.promotion_asset.money_amount_off.currency_code,asset.promotion_asset.occasion,asset.promotion_asset.orders_over_amount.amount_micros,asset.promotion_asset.orders_over_amount.currency_code,asset.promotion_asset.percent_off,asset.promotion_asset.promotion_code,asset.promotion_asset.promotion_target,asset.promotion_asset.redemption_end_date,asset.promotion_asset.redemption_start_date,asset.promotion_asset.start_date,asset.resource_name,asset.sitelink_asset.ad_schedule_targets,asset.sitelink_asset.description1,asset.sitelink_asset.description2,asset.sitelink_asset.end_date,asset.sitelink_asset.link_text,asset.sitelink_asset.start_date,asset.source,asset.structured_snippet_asset.header,asset.structured_snippet_asset.values,asset.text_asset.text,asset.tracking_url_template,asset.type,asset.url_custom_parameters,asset.youtube_video_asset.youtube_video_id,asset.youtube_video_asset.youtube_video_title",None,None,Asset,None,0
"account_link,customer","<p>A data sharing connection, allowing the import of third party app analytics into a Google Ads Customer.</p>","third_party_app_analytics_link.resource_name,third_party_app_analytics_link.shareable_link_id",None,None,Third Party App Analytics Link,None,0
None,<p>A user interest: a particular interest-based vertical to be targeted.</p>,"user_interest.availabilities,user_interest.launched_to_all,user_interest.name,user_interest.resource_name,user_interest.taxonomy_type,user_interest.user_interest_id,user_interest.user_interest_parent",None,None,User Interest,None,0
customer,<p>SharedSets are used for sharing criterion exclusions across multiple campaigns.</p>,"shared_set.id,shared_set.member_count,shared_set.name,shared_set.reference_count,shared_set.resource_name,shared_set.status,shared_set.type",None,None,Shared Set,"campaign,campaign_shared_set",0
"campaign,customer",<p>Settings for configuring Smart campaigns.</p>,"smart_campaign_setting.ad_optimized_business_profile_setting.include_lead_form,smart_campaign_setting.advertising_language_code,smart_campaign_setting.business_name,smart_campaign_setting.business_profile_location,smart_campaign_setting.campaign,smart_campaign_setting.final_url,smart_campaign_setting.phone_number.country_code,smart_campaign_setting.phone_number.phone_number,smart_campaign_setting.resource_name",None,None,Smart Campaign Setting,None,0
None,"<p>Use topics to target or exclude placements in the Google Display Network based on the category into which the placement falls (for example, ""Pets &amp; Animals/Pets/Dogs"").</p>","topic_constant.id,topic_constant.path,topic_constant.resource_name,topic_constant.topic_constant_parent",None,None,Topic Constant,None,0
customer,<p>Represents the data sharing connection between a Google Ads customer and another product.</p>,"product_link.data_partner.data_partner_id,product_link.google_ads.customer,product_link.product_link_id,product_link.resource_name,product_link.type",None,None,Product Link,None,0
customer,"<p>A remarketing action. A snippet of JavaScript code that will collect the product id and the type of page people visited (product page, shopping cart page, purchase page, general site visit) on an advertiser's website.</p>","remarketing_action.id,remarketing_action.name,remarketing_action.resource_name,remarketing_action.tag_snippets",None,None,Remarketing Action,None,0
"customer,mobile_app_category_constant,shared_set",<p>A criterion belonging to a shared set.</p>,"shared_criterion.criterion_id,shared_criterion.keyword.match_type,shared_criterion.keyword.text,shared_criterion.mobile_app_category.mobile_app_category_constant,shared_criterion.mobile_application.app_id,shared_criterion.mobile_application.name,shared_criterion.placement.url,shared_criterion.resource_name,shared_criterion.shared_set,shared_criterion.type,shared_criterion.youtube_channel.channel_id,shared_criterion.youtube_video.video_id",None,None,Shared Criterion,None,0
None,<p>Qualifying Questions for Lead Form.</p>,"qualifying_question.locale,qualifying_question.qualifying_question_id,qualifying_question.resource_name,qualifying_question.text",None,None,Qualifying Question,None,0
"customer,user_list","<p>A job containing offline user data of store visitors, or user list members that will be processed asynchronously. The uploaded data isn't readable and the processing results of the job can only be read using GoogleAdsService.Search/SearchStream.</p>","offline_user_data_job.customer_match_user_list_metadata.user_list,offline_user_data_job.external_id,offline_user_data_job.failure_reason,offline_user_data_job.id,offline_user_data_job.operation_metadata.match_rate_range,offline_user_data_job.resource_name,offline_user_data_job.status,offline_user_data_job.store_sales_metadata.loyalty_fraction,offline_user_data_job.store_sales_metadata.third_party_metadata.advertiser_upload_date_time,offline_user_data_job.store_sales_metadata.third_party_metadata.bridge_map_version_id,offline_user_data_job.store_sales_metadata.third_party_metadata.partner_id,offline_user_data_job.store_sales_metadata.third_party_metadata.partner_match_fraction,offline_user_data_job.store_sales_metadata.third_party_metadata.partner_upload_fraction,offline_user_data_job.store_sales_metadata.third_party_metadata.valid_transaction_fraction,offline_user_data_job.store_sales_metadata.transaction_upload_fraction,offline_user_data_job.type",None,None,Offline User Data Job,None,0
None,<p>A Product Bidding Category.</p>,"product_bidding_category_constant.country_code,product_bidding_category_constant.id,product_bidding_category_constant.language_code,product_bidding_category_constant.level,product_bidding_category_constant.localized_name,product_bidding_category_constant.product_bidding_category_constant_parent,product_bidding_category_constant.resource_name,product_bidding_category_constant.status",None,None,Product Bidding Category Constant,None,0
None,"<p>A mobile operating system version or a range of versions, depending on <code translate=""no"" dir=""ltr"">operator_type</code>. List of available mobile platforms at <a href=""https://developers.google.com/google-ads/api/reference/data/codes-formats#mobile-platforms"">https://developers.google.com/google-ads/api/reference/data/codes-formats#mobile-platforms</a></p>","operating_system_version_constant.id,operating_system_version_constant.name,operating_system_version_constant.operator_type,operating_system_version_constant.os_major_version,operating_system_version_constant.os_minor_version,operating_system_version_constant.resource_name",None,None,Operating System Version Constant,None,0
None,<p>A mobile device constant.</p>,"mobile_device_constant.id,mobile_device_constant.manufacturer_name,mobile_device_constant.name,mobile_device_constant.operating_system_name,mobile_device_constant.resource_name,mobile_device_constant.type",None,None,Mobile Device Constant,None,0
None,<p>A mobile application category constant.</p>,"mobile_app_category_constant.id,mobile_app_category_constant.name,mobile_app_category_constant.resource_name",None,None,Mobile App Category Constant,None,0
customer,<p>A media file.</p>,"media_file.audio.ad_duration_millis,media_file.file_size,media_file.id,media_file.image.full_size_image_url,media_file.image.preview_size_image_url,media_file.media_bundle.url,media_file.mime_type,media_file.name,media_file.resource_name,media_file.source_url,media_file.type,media_file.video.ad_duration_millis,media_file.video.advertising_id_code,media_file.video.isci_code,media_file.video.youtube_video_id",None,None,Media File,None,0
"ad_group,ad_group_ad,asset,campaign,customer",<p>Data from lead form submissions.</p>,"lead_form_submission_data.ad_group,lead_form_submission_data.ad_group_ad,lead_form_submission_data.asset,lead_form_submission_data.campaign,lead_form_submission_data.custom_lead_form_submission_fields,lead_form_submission_data.gclid,lead_form_submission_data.id,lead_form_submission_data.lead_form_submission_fields,lead_form_submission_data.resource_name,lead_form_submission_data.submission_date_time",None,None,Lead Form Submission Data,None,0
